Gene	chr1p34	chr2q31	chrXp11	chr13q14	chr16p12	chrXp22	chr12q23	chr5q14	chr13q12	chr3q29	chr10q11	chr8q11	chr11p11	chr20p12	chr8p11	chr2q14	chr8p23	chr4q22	chr6q15	chrXq23
PEX16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SPI1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LRP4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DGKZ	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
F2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSMC3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EXT2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CKMT2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CETN3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RASA1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AP3B1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CSPG2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DHFR	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
POLR3G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCAMP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARSB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BHMT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TFCP2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
