Gene	chr21q22	chr21	chr9q34	chr1q24	chr17p11	chr5p15	chrYp11	chrY	chrYq11	chr4q13	chr9q21	chr8p12	chr2q24	chr5p13	chr11q22	chr6q24	chr13q13	chr3p25	chr2q32	chr7p21
IL3RA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP11A1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PLCXD1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TTTY2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ZFY	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TGIF2LY	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RPS4Y1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CD99	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYorf14	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
UTY	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CSPG4LY	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NLGN4Y	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CYorf15A	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
TTTY15	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CYorf15B	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
USP9Y	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DDX3Y	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
EIF1AY	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GRIK1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D21S2056E	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMSN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXADR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf107	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITSN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
