Gene	GLUT_DOWN	RAP_DOWN	INSULIN_2F_UP	LEU_DOWN	GNF_FEMALE_GENES	Proteasome_Degradati	ST_Dictyostelium_dis	proteasomePathway	mtorPathway	XINACT_MERGED	cellcyclePathway	raccycdPathway	telPathway	TCA	rhoPathway	MAP00193_ATP_synthes	cell_cycle_arrest	SA_G1_AND_S_PHASES	mRNA_splicing	mRNA_processing
AKT1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
EIF4G2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
CDK4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
CCND3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCND2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CDKN2B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RB1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
CDK2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CDK6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CCNE1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CDKN1A	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0
CDKN2C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
CDKN2A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
CDC25A	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCNB1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HRAS	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DHX9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC20	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC61B	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMF1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSB	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMPS	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNA2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCL	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDHA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALR	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERH	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2N	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF126	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KARS	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODC1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SARA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ12671	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAICS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAZ1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGI-48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCSH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYD88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSA9761	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEP50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMS1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
