Gene	cell_adhesion	TESTIS_GENES_FROM_XH	KRAS_TOP100_KNOCKDOW	CR_CAM	ANDROGEN_GENES_FROM_	AR_MOUSE_PLUS_TESTO_	AR_MOUSE	AR_ORTHOS_MAPPED_TO_	NFKB_REDUCED	ANTI_CD44_UP	ST_T_Cell_Signal_Tra	inflamPathway	GPCRs_Class_B_Secret	EMT_DOWN	MAP00650_Butanoate_m	Inflammatory_Respons	ST_Wnt_Ca2_cyclic_GM	shhPathway	lairPathway	gata3Pathway
NCF2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ISYNA1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SC4MOL	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TCF7	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EBP	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENPP1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
KCNK1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CA2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RAMP3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CA4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PTPRO	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
VCAM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ITGAL	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IL8	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
IL1A	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
PDE6A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
IF	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PYGL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADRB2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ECGF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIGA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MLLT3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AQP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RGS3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PLG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDKL5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VTN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1orf38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLLT4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGBL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPCML	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPG7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMILIN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEDD9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLECSF6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPXN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APBA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPRL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NINJ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDG1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LU	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYRO3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAM-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINI2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2R	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD99	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH15	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA4D	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH11	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH17	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNC	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUP	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDH1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
UGT2B4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP3A43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB1I1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCOA4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD11B1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1D1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP11B2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPAP2A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RODH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDH5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB2A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT2A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GRAP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LAT	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RASGRP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NFKBIB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RASGRP1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NFKB2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PAK4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SOS2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LCP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZAP70	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CD80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IL2RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MUC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
COL3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CCL2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINE2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGLS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0992	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP4B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHB2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULK1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MATN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLRT2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NALP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMKOR1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
VIPR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LPHN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LPHN2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PTHR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GLP2R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PTHR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSORS1C1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZp434H2215	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFDP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXADR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINLW1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZP434P211	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTE1L	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TZFP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR0B1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYLC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ36166	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPDS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BGR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLC-8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTTY2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM12B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTTY15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX3Y	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF1AY	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKACB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SHH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PTCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GLI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GSK3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALDH5A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HMGCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PDHB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EHHADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HMGCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SCEL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
THBS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
INA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KIAA0350	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KLK7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DSG3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HYAL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RGS2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTHLH	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RUNX1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RIMS2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TGFB2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IFNA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IFNB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSF1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PDGFA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NFATC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ITPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
PDE6D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDE6H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDE6G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDE6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TGFB3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
KITLG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTGF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IRF6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TIAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TACSTD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
