Gene	chr6	chr14	chr6p21	chr13	chr6p22	chr14q32	chr5q31	chr17q23	chr6q21	chr4p16	chr10q24	chr13q14	chr1q42	chr1q25	chr17q24	chr3q13	chr10q25	chr6q23	chr10p15	chr8p11
E2F3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF165	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP153	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THEM2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AI	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AE	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTN1A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEK	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf62	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTN3A3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BD	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BL	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BN	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BJ	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTN3A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTRAP	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH5A1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM38	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3D	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF187	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
