Gene	chr19p13	chr1p36	chr12p13	chr16p11	chr17q25	chr2p13	chr11q12	chr2q35	chr15q26	chr4q13	chr7q36	chr1q24	chr15q25	chr18p11	chr15q22	chr20p11	chr7q34	chr11q24	chr19q13	chr19
RLBP1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAN2A2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FURIN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FES	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALDH1A3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLIN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CIB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLCO3A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANPEP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HRASLS3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC3A2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYAT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FTH1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PGA5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF6L	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTRL1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC43A1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX261	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA4F	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTXR1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
