GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
ST_Ga12_Pathway	18	Signalling Transduction KE	0.62202	1.8126	0	0.73271	0.322	0.5	0.205	0.399	0	0.236
SIG_BCR_Signaling_Pathway	39	SignallingAlliance	0.49615	1.6675	0.02362	1	0.622	0.385	0.167	0.323	0.68337	0.391
ANTI_CD44_UP	22	Hogerkorp_et_al_2003	0.55101	1.6396	0.0123	1	0.675	0.545	0.184	0.447	0.56658	0.353
SIG_PIP3_signaling_in_B_lymphocytes	28	SignallingAlliance	0.5033	1.6035	0.03131	0.98704	0.744	0.429	0.178	0.354	0.60484	0.357
MAP00590_Prostaglandin_and_leukotriene_metabolism	15	GenMAPP	0.55842	1.5294	0.05976	1	0.831	0.533	0.231	0.411	0.88779	0.469
tnf_and_fas_network	18	BioCarta	0.48506	1.5136	0.04255	1	0.846	0.278	0.123	0.244	0.83963	0.433
MAP00561_Glycerolipid_metabolism	37	GenMAPP	0.44458	1.5132	0.02362	0.99066	0.846	0.514	0.307	0.358	0.72029	0.387
MAP00071_Fatty_acid_metabolism	36	GenMAPP	0.48282	1.4766	0.07752	1	0.884	0.444	0.246	0.337	0.82277	0.417
cell_cycle_regulator	19	OBSOLETE (was not defined before being made obsolete).	0.48502	1.4742	0.05985	0.96133	0.884	0.368	0.179	0.304	0.74192	0.379
Fatty_Acid_Degradation	15	BioCarta	0.55604	1.4672	0.08889	0.90173	0.892	0.333	0.149	0.285	0.69767	0.348
FA	18	Manually Curated	0.54757	1.4537	0.106	0.88558	0.893	0.5	0.233	0.385	0.69721	0.344
MAP00120_Bile_acid_biosynthesis	19	GenMAPP	0.48101	1.4415	0.07312	0.86936	0.898	0.632	0.332	0.424	0.6885	0.337
Il12Pathway	22	BioCarta	0.50891	1.4232	0.0996	0.88948	0.912	0.273	0.13	0.238	0.72692	0.354
electron_transport	45	BioCarta	0.41523	1.4129	0.08885	0.8727	0.915	0.422	0.276	0.308	0.71429	0.346
MAP00361_gamma_Hexachlorocyclohexane_degradation	23	GenMAPP	0.48626	1.3988	0.1022	0.87406	0.924	0.391	0.187	0.319	0.72787	0.348
MAP00650_Butanoate_metabolism	19	GenMAPP	0.47827	1.3725	0.1027	0.93092	0.929	0.579	0.246	0.438	0.78951	0.372
MAP00280_Valine_leucine_and_isoleucine_degradation	22	GenMAPP	0.47622	1.3471	0.1597	0.98769	0.933	0.364	0.156	0.308	0.82878	0.419
G13_Signaling_Pathway	22	BioCarta	0.44229	1.347	0.1363	0.93353	0.933	0.364	0.177	0.3	0.78723	0.386
fmlppathway	31	The fMLP receptor is a G-protein coupled receptor in neutrophiles that recognizes formylated bacterial peptides and activates NADPH oxidase.	0.38175	1.3434	0.1048	0.90131	0.934	0.323	0.116	0.287	0.76684	0.37
MAP00640_Propanoate_metabolism	17	GenMAPP	0.47411	1.3433	0.1486	0.85648	0.934	0.353	0.108	0.316	0.7285	0.341
MAPK_Cascade	19	GO	0.45293	1.3269	0.1081	0.88578	0.939	0.421	0.131	0.367	0.7619	0.362
bcrPathway	29	B cell antigen receptors (BCRs) activate tyrosine kinases and transiently increase tyrosine phosphorylation on binding to antigen.	0.39718	1.3253	0.1375	0.85151	0.939	0.379	0.151	0.324	0.73221	0.346
GPCRs_Class_A_Rhodopsin-like	94	GO	0.40682	1.3239	0.1657	0.81927	0.939	0.489	0.316	0.341	0.70505	0.322
RAP_UP	116	Peng_at_al_2002	0.32147	1.3094	0.1632	0.83754	0.948	0.284	0.174	0.24	0.72713	0.339
TESTIS_GENES_FROM_XHX_AND_NETAFFX	27	na	0.4096	1.3048	0.1442	0.82156	0.949	0.407	0.255	0.305	0.72554	0.329
metPathway	29	BioCarta	0.39505	1.2909	0.1472	0.83993	0.953	0.31	0.141	0.268	0.73299	0.335
EMT_DOWN	34	Jechlinger_et_al_2003	0.40853	1.2876	0.1712	0.81994	0.953	0.324	0.157	0.275	0.72345	0.329
amiPathway	22	Endogenous anti-thrombosis pathways are overwhelmed in plaque-narrowed blood vessels, resulting in potentially lethal myocardial infarction.	0.44404	1.2789	0.219	0.79043	0.955	0.273	0.11	0.244	0.70818	0.298
cskPathway	22	Csk inhibits T-cell activation by phosphorylating Lck; Csk is regulated by cAMP-dependent kinases and is opposed by the T-cell activator CD45.	0.44404	1.2789	0.219	0.79043	0.955	0.273	0.11	0.244	0.70818	0.298
tcrPathway	39	BioCarta	0.37358	1.2768	0.1947	0.77084	0.956	0.308	0.13	0.27	0.70291	0.288
nfatPathway	43	BioCarta	0.35041	1.2662	0.1476	0.78226	0.962	0.256	0.116	0.228	0.72351	0.293
gpcrPathway	31	BioCarta	0.38228	1.2651	0.1765	0.76108	0.962	0.29	0.13	0.254	0.70312	0.273
ST_ADRENERGIC	32	Signalling Transduction KE	0.37052	1.2625	0.1586	0.74597	0.962	0.5	0.34	0.332	0.68664	0.261
cxcr4Pathway	19	CXCR4 is a G-protein coupled receptor that responds to the ligand SDF-1 by activating Ras and PI3 kinase to promote lymphocyte chemotaxis.	0.41125	1.253	0.175	0.75451	0.964	0.368	0.145	0.316	0.69181	0.262
mapkPathway	66	BioCarta	0.33054	1.2426	0.1683	0.76393	0.966	0.333	0.206	0.268	0.70838	0.271
fcer1Pathway	31	In mast cells, Fc epsilon receptor 1 activates BTK, PKC, and the MAP kinase pathway to promote degranulation and arachnidonic acid release.	0.3621	1.2355	0.169	0.76512	0.967	0.355	0.151	0.303	0.71762	0.269
biopeptidesPathway	31	Extracellular signaling peptides exert biological effects via G-protein coupled receptors (GPCRs), which activate intracellular GTPases.	0.34348	1.231	0.1909	0.75699	0.967	0.258	0.109	0.231	0.71035	0.264
vipPathway	22	BioCarta	0.37712	1.2262	0.2171	0.75183	0.968	0.273	0.114	0.243	0.70921	0.256
ST_GRANULE_CELL_SURVIVAL_PATHWAY	21	Signalling Transduction KE	0.39501	1.2124	0.241	0.77471	0.973	0.429	0.24	0.327	0.7326	0.276
pparaPathway	44	BioCarta	0.33013	1.1998	0.2218	0.79225	0.975	0.364	0.21	0.29	0.75993	0.298
MAP00051_Fructose_and_mannose_metabolism	17	GenMAPP	0.40198	1.1948	0.2352	0.78907	0.977	0.294	0.131	0.257	0.7622	0.294
ecmPathway	17	Extracellular matrix induces integrin-mediated FAK phosphorylation in epithelial cells, leading to PI3 and MAP kinase activation and actin reorganization.	0.37776	1.1919	0.252	0.77928	0.977	0.294	0.104	0.264	0.75188	0.278
ST_Differentiation_Pathway_in_PC12_Cells	34	Signalling Transduction KE	0.35801	1.18	0.2534	0.79539	0.978	0.471	0.342	0.312	0.76983	0.292
ST_MONOCYTE_AD_PATHWAY	23	Signalling Transduction KE	0.35037	1.1798	0.248	0.77807	0.978	0.435	0.336	0.29	0.75233	0.28
CR_IMMUNE_FUNCTION	46	PNAS_2009	0.36227	1.17	0.2823	0.78903	0.98	0.326	0.223	0.256	0.77227	0.291
MAP00380_Tryptophan_metabolism	37	GenMAPP	0.35757	1.1596	0.2789	0.8012	0.983	0.324	0.187	0.265	0.78207	0.303
fatty_acid_metabolism	15	BioCarta	0.42793	1.1584	0.2778	0.78745	0.983	0.467	0.255	0.349	0.7711	0.291
ST_Interleukin_4_Pathway	20	Signalling Transduction KE	0.37664	1.1515	0.3006	0.79107	0.984	0.4	0.256	0.299	0.7754	0.301
MAP00620_Pyruvate_metabolism	26	GenMAPP	0.35877	1.1509	0.2834	0.77675	0.984	0.269	0.108	0.241	0.76531	0.284
MAP00910_Nitrogen_metabolism	17	GenMAPP	0.417	1.1488	0.3185	0.76809	0.984	0.588	0.306	0.41	0.75928	0.276
nktPathway	27	BioCarta	0.38597	1.1487	0.3406	0.75348	0.984	0.407	0.285	0.293	0.74439	0.262
tob1Pathway	18	BioCarta	0.41464	1.1487	0.3366	0.73899	0.984	0.667	0.428	0.383	0.73008	0.237
rhoPathway	19	BioCarta	0.37821	1.1422	0.2736	0.74256	0.984	0.263	0.0864	0.241	0.73338	0.239
P53_UP	39	Kannan_et_al_2001	0.31608	1.1271	0.2854	0.76902	0.986	0.385	0.201	0.31	0.76138	0.263
ST_G_alpha_i_Pathway_	29	Signalling Transduction KE	0.3206	1.1263	0.2773	0.75682	0.986	0.448	0.34	0.298	0.74963	0.248
MAP00410_beta_Alanine_metabolism	17	GenMAPP	0.37701	1.1247	0.2871	0.74782	0.986	0.471	0.283	0.339	0.73897	0.234
hdacPathway	22	BioCarta	0.3564	1.1156	0.3156	0.75811	0.987	0.364	0.211	0.288	0.75777	0.249
no2il12Pathway	16	BioCarta	0.43429	1.1115	0.3595	0.75508	0.987	0.188	0.103	0.169	0.75404	0.244
ST_Gaq_Pathway	24	Signalling Transduction KE	0.34595	1.101	0.3523	0.77036	0.987	0.333	0.263	0.247	0.76692	0.257
GPCRs_Class_B_Secretin-like	18	GO	0.38337	1.086	0.4085	0.7968	0.988	0.278	0.174	0.23	0.80495	0.282
dcPathway	18	Dendritic cells internalize and present antigen, after which they migrate to lymphocyte-rich tissues and induce T and B cell differentiation.	0.39909	1.0841	0.3935	0.78877	0.988	0.333	0.179	0.275	0.79631	0.274
th1th2Pathway	18	BioCarta	0.3985	1.0829	0.4252	0.7792	0.988	0.389	0.285	0.279	0.78347	0.259
MAP00220_Urea_cycle_and_metabolism_of_amino_groups	17	GenMAPP	0.37966	1.0805	0.3626	0.77291	0.988	0.353	0.173	0.293	0.78189	0.256
SIG_CHEMOTAXIS	27	SignallingAlliance	0.31602	1.0783	0.3472	0.76643	0.989	0.222	0.163	0.187	0.77117	0.25
SIG_CD40PATHWAYMAP	25	SignallingAlliance	0.34705	1.0721	0.402	0.76903	0.989	0.36	0.244	0.273	0.77598	0.248
insulin_signalling	77	BioCarta	0.25526	1.069	0.3621	0.76463	0.99	0.26	0.175	0.217	0.76906	0.244
stressPathway	20	BioCarta	0.36271	1.0687	0.387	0.75395	0.99	0.3	0.193	0.243	0.75812	0.231
ADULT_LIVER_vs_FETAL_LIVER_GNF2	46	Manually Curated	0.31472	1.0645	0.3763	0.75282	0.991	0.413	0.216	0.327	0.76043	0.222
mitochondr	231	Manually Curated	0.25666	1.0522	0.3752	0.77183	0.992	0.221	0.17	0.192	0.78432	0.242
CR_TRANSCRIPTION_FACTORS	63	PNAS_2013	0.29265	1.05	0.3818	0.76576	0.992	0.254	0.212	0.203	0.7774	0.229
GO_0005739	112	GO	0.27912	1.0453	0.3702	0.76637	0.992	0.214	0.17	0.182	0.77754	0.231
pgc1aPathway	16	BioCarta	0.35404	1.0336	0.4255	0.78327	0.993	0.313	0.14	0.27	0.80332	0.256
calcineurinPathway	16	Increased intracellular calcium activates the phosphatase calcineurin in differentiating keratinocytes.	0.35113	1.0259	0.4148	0.79181	0.995	0.313	0.116	0.277	0.81371	0.265
erkPathway	26	Cell growth is promoted by Ras activation of the anti-apoptotic p44/42 MAP kinase pathway.	0.29288	1.0254	0.4257	0.78253	0.995	0.538	0.331	0.362	0.80272	0.252
il2Pathway	21	BioCarta	0.33637	1.0249	0.4054	0.77322	0.995	0.619	0.347	0.406	0.79201	0.235
edg1Pathway	19	The lipid S1P is an EDG1 ligand promoting chemotaxis via Rac1 and cell survival and proliferation via ERK activation.	0.34188	1.0151	0.4317	0.78505	0.996	0.474	0.357	0.306	0.80575	0.245
FETAL_LIVER_HS_ENRICHED_TF_JP	53	Manually Curated	0.28148	1.0083	0.463	0.79143	0.996	0.245	0.181	0.203	0.81714	0.255
MAP00350_Tyrosine_metabolism	25	GenMAPP	0.33849	0.99925	0.4485	0.80347	0.996	0.36	0.238	0.276	0.83416	0.272
HEMO_TF_LIST_JP	66	Manually Curated	0.28679	0.9963	0.4875	0.80028	0.996	0.348	0.271	0.257	0.82868	0.266
CR_SIGNALLING	159	PNAS_2012	0.24347	0.99379	0.497	0.7966	0.996	0.39	0.327	0.271	0.82497	0.26
human_mitoDB_6_2002	231	Manually Curated	0.24754	0.99289	0.4617	0.7891	0.996	0.156	0.0955	0.147	0.81607	0.25
ST_p38_MAPK_Pathway	27	Signalling Transduction KE	0.30159	0.99145	0.4839	0.78287	0.996	0.407	0.271	0.298	0.80798	0.237
PROLIF_GENES	272	Manually Curated	0.21798	0.98663	0.4852	0.78383	0.996	0.276	0.251	0.218	0.81172	0.228
MAP00340_Histidine_metabolism	19	GenMAPP	0.35168	0.98557	0.4569	0.77712	0.996	0.421	0.283	0.303	0.80257	0.22
nos1Pathway	18	BioCarta	0.33345	0.9837	0.4921	0.77212	0.996	0.167	0.0723	0.155	0.80214	0.205
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	39	na	0.28881	0.97277	0.4582	0.78673	0.997	0.231	0.145	0.199	0.82045	0.222
MAP00330_Arginine_and_proline_metabolism	36	GenMAPP	0.27951	0.96177	0.5283	0.8015	0.997	0.389	0.283	0.281	0.83684	0.247
ST_Integrin_Signaling_Pathway	53	Signalling Transduction KE	0.24844	0.95044	0.5504	0.8185	0.997	0.321	0.202	0.258	0.85458	0.277
gsk3Pathway	18	BioCarta	0.29453	0.94193	0.5534	0.82799	0.997	0.167	0.116	0.148	0.86924	0.287
ST_B_Cell_Antigen_Receptor	32	Signalling Transduction KE	0.27666	0.9373	0.5491	0.8287	0.997	0.25	0.167	0.209	0.86859	0.29
