GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
p53hypoxiaPathway	19	BioCarta	-0.67164	-2.0334	0	0.04965	0.046	0.421	0.0847	0.387	0	0.02
MAP00970_Aminoacyl_tRNA_biosynthesis	15	GenMAPP	-0.77173	-1.8772	0.007797	0.14438	0.202	0.533	0.107	0.477	0	0.036
INSULIN_2F_UP	113	Rome_et_al_2003	-0.50841	-1.8554	0.001949	0.11837	0.237	0.425	0.177	0.357	0	0.019
tRNA_Synthetases	16	BioCarta	-0.75217	-1.7979	0.01004	0.15672	0.347	0.5	0.107	0.448	0	0.027
LEU_DOWN	124	Peng_at_al_2002	-0.57524	-1.7816	0.02559	0.14406	0.376	0.532	0.179	0.448	0	0.021
HTERT_UP	104	Smith_et_al_2003	-0.43759	-1.7733	0.004167	0.12755	0.389	0.375	0.164	0.32	0	0.013
GLUT_DOWN	199	Peng_at_al_2002	-0.50972	-1.7415	0.024	0.14585	0.464	0.467	0.179	0.399	0	0.018
cell_cycle_checkpoint	19	A point in the eukaryotic cell cycle where progress through the cycle can be halted until conditions are suitable for the cell to proceed to the next stage.	-0.56804	-1.6716	0.01313	0.21561	0.617	0.526	0.168	0.439	0.11842	0.028
proteasomePathway	20	BioCarta	-0.69368	-1.6287	0.05212	0.26184	0.688	0.6	0.172	0.499	0.16108	0.04
Proteasome_Degradation	27	BioCarta	-0.5762	-1.5639	0.07939	0.36049	0.788	0.519	0.191	0.422	0.24545	0.069
RAP_DOWN	156	Peng_at_al_2002	-0.44102	-1.5107	0.08722	0.44977	0.84	0.436	0.179	0.369	0.32592	0.111
p53_signalling	65	BioCarta	-0.39593	-1.4683	0.03469	0.52596	0.874	0.292	0.121	0.26	0.41327	0.142
KRAS_TOP100_CONTROL	38	Cordero_et_al_2005	-0.41887	-1.4652	0.06127	0.49328	0.877	0.368	0.185	0.302	0.38764	0.116
EMT_UP	49	Jechlinger_et_al_2003	-0.45191	-1.4558	0.0943	0.48198	0.884	0.388	0.168	0.326	0.38571	0.107
Cell_Cycle	53	The progression of biochemical and morphological events that occur during nuclear or cellular replication.	-0.44603	-1.4064	0.1367	0.59139	0.907	0.509	0.249	0.387	0.50999	0.168
MAP00500_Starch_and_sucrose_metabolism	19	GenMAPP	-0.46776	-1.4008	0.1116	0.57005	0.91	0.368	0.104	0.331	0.48711	0.158
CR_TRANSPORT_OF_VESICLES	19	PNAS_2015	-0.45002	-1.3988	0.0982	0.54198	0.912	0.526	0.168	0.44	0.46485	0.138
GLUCOSE_DOWN	100	Peng_at_al_2002	-0.3695	-1.3723	0.1371	0.58579	0.922	0.4	0.194	0.329	0.51191	0.163
vegfPathway	21	BioCarta	-0.4486	-1.3653	0.0978	0.57519	0.925	0.286	0.151	0.243	0.50261	0.148
GLYCOL	16	Manually Curated	-0.49121	-1.3645	0.1464	0.54851	0.925	0.438	0.132	0.381	0.48	0.131
GO_ROS	18	FO	-0.44183	-1.3471	0.1063	0.56832	0.929	0.444	0.162	0.374	0.50342	0.136
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	20	SignallingAlliance	-0.43606	-1.3254	0.1499	0.60123	0.941	0.3	0.123	0.264	0.54781	0.155
gcrPathway	16	BioCarta	-0.45214	-1.324	0.1445	0.57869	0.941	0.438	0.181	0.36	0.52762	0.139
FRASOR_ER_DOWN	52	Frasor_et_al_2004	-0.3585	-1.3131	0.1181	0.58389	0.948	0.288	0.115	0.258	0.53594	0.14
RAR_UP	22	Manually Curated	-0.41743	-1.3005	0.155	0.5936	0.95	0.273	0.0738	0.254	0.54763	0.144
LEU_UP	80	Peng_at_al_2002	-0.31695	-1.2441	0.1885	0.72973	0.969	0.288	0.149	0.249	0.69973	0.242
ST_Phosphoinositide_3_Kinase_Pathway	29	Signalling Transduction KE	-0.3531	-1.2414	0.1847	0.71057	0.969	0.276	0.126	0.242	0.68376	0.226
MAP00240_Pyrimidine_metabolism	35	GenMAPP	-0.36842	-1.2338	0.2133	0.70691	0.97	0.4	0.224	0.312	0.68571	0.219
MAP00010_Glycolysis_Gluconeogenesis	45	GenMAPP	-0.34692	-1.2321	0.1906	0.68753	0.97	0.289	0.132	0.253	0.66684	0.202
breast_cancer_estrogen_signalling	80	GEArray	-0.30122	-1.2167	0.1897	0.70927	0.97	0.238	0.124	0.211	0.69737	0.226
GLUCOSE_UP	29	Peng_at_al_2002	-0.37579	-1.2156	0.2263	0.68909	0.97	0.207	0.0472	0.198	0.67608	0.203
GLUCO	26	Manually Curated	-0.38491	-1.2105	0.2297	0.6811	0.972	0.269	0.0782	0.249	0.66712	0.195
mRNA_splicing	30	BioCarta	-0.40015	-1.2056	0.2644	0.67427	0.973	0.367	0.181	0.302	0.66339	0.186
SIG_InsulinReceptorPathwayInCardiacMyocytes	38	SignallingAlliance	-0.3281	-1.2054	0.1816	0.65489	0.973	0.263	0.134	0.23	0.64419	0.166
caspasePathway	19	Caspases are cysteine proteases active in apoptosis; caspase-8 and 9 cleave and activate other caspases, while 3, 6, and 7 cleave cellular targets.	-0.4029	-1.2014	0.2495	0.64688	0.973	0.474	0.205	0.378	0.63727	0.157
HOX_LIST_JP	30	Manually Curated	-0.37985	-1.1979	0.2474	0.63828	0.974	0.367	0.18	0.302	0.62806	0.15
g1Pathway	24	BioCarta	-0.3766	-1.1702	0.2678	0.68907	0.982	0.292	0.109	0.261	0.67995	0.19
