Gene	INSULIN_2F_UP	GLUCOSE_DOWN	HTERT_UP	Cell_Cycle	EMT_UP	p53_signalling	KRAS_TOP100_CONTROL	Proteasome_Degradati	proteasomePathway	CR_TRANSPORT_OF_VESI	cell_cycle_checkpoin	MAP00970_Aminoacyl_t	tRNA_Synthetases	MAP00500_Starch_and_	GLYCOL	p53hypoxiaPathway	vegfPathway	RAP_DOWN	LEU_DOWN	GLUT_DOWN
HIF1A	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
GADD45A	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
TP53	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PSMD14	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
PSMA5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AARS	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
DARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
WARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
GARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
TARS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
MARS	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
PSMA6	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
PSMA4	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PSMA1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
H2AFZ	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBE2D3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMB9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMC1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H2AFX	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMC6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSME2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
MCM6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MCM7	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CDK4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CDC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC1L1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKDC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
