Gene	HEMO_TF_LIST_JP	FETAL_LIVER_HS_ENRIC	SIG_BCR_Signaling_Pa	CR_IMMUNE_FUNCTION	ST_G_alpha_i_Pathway	ST_GRANULE_CELL_SURV	ST_ADRENERGIC	HOX_LIST_JP	tcrPathway	tob1Pathway	il17Pathway	Il12Pathway	no2il12Pathway	ctla4Pathway	amiPathway	cskPathway	GO_ROS	badPathway	MAP00590_Prostagland	GPCRs_Class_B_Secret
TRA@	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0
TRB@	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0
CD3E	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
CD3G	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
CD3Z	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
CD3D	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
JUN	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
LCK	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0
HLA-DRA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
PTPRC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
PRKACB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
PRKAR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
GRB2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ITPR3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CXCR3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
STAT3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PI3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCB4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRD2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPKB	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAH1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PITX2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PHKA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PTX3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMP	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAQ	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK10	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL8RB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TFE3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2C2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC1L1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1H3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROX1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF238	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPIB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHEX	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT5A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFI1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLL	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RING1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOXC4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOXD10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HLX1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MEIS1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
