Gene	LEU_DOWN	HTERT_UP	INSULIN_2F_UP	p53_signalling	breast_cancer_estrog	insulin_signalling	tRNA_Synthetases	MAP00970_Aminoacyl_t	mtorPathway	MAP00251_Glutamate_m	CR_TRANSPORT_OF_VESI	vegfPathway	raccycdPathway	ceramidePathway	cxcr4Pathway	sppaPathway	bcl2family_and_reg_n	GLYCOL	MAP00010_Glycolysis_	GLUCO
GAPD	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
NFKB1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
RELA	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
HRAS	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0
MAP2K1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0
RAF1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0
ALDOA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
LDHB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YARS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EPRS	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
MARS	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
KARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HARSL	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RARS	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MKNK1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS6KB1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4E	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPP2CA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4G3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
VEGF	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EIF2B1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CRK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SERPINE1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRAS2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIEG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ITGB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BIK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BCL2A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AP3D1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GOLGA4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB11A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB1A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAB6A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PIK3C3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GPT	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALDOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PFKM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALDOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ME3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PCK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GFPT1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLUD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPAT	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GCLC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCNH	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSG101	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTEL1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0063	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMO4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
