Gene	RAP_UP	CR_IMMUNE_FUNCTION	AR_MOUSE_PLUS_TESTO_	AR_ORTHOS_MAPPED_TO_	AR_MOUSE	SIG_BCR_Signaling_Pa	ST_B_Cell_Antigen_Re	SIG_PIP3_signaling_i	at1rPathway	tcrPathway	bcrPathway	fcer1Pathway	ST_JNK_MAPK_Pathway	ST_Gaq_Pathway	ST_MONOCYTE_AD_PATHW	SA_B_CELL_RECEPTOR_C	ST_Dictyostelium_dis	ST_GRANULE_CELL_SURV	tnfr1Pathway	gleevecPathway
PLCG2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT2	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
ITPKB	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0
NFKBIA	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
TCF7	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCF2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDFT1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBP	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB561	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG20	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERP70	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGR2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAN1A1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
CASP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ARHGDIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
