Gene	mitochondr	human_mitoDB_6_2002	GO_0005739	RAP_DOWN	CR_CELL_CYCLE	Cell_Cycle	MAP00240_Pyrimidine_	MAP00230_Purine_meta	Proteasome_Degradati	CR_REPAIR	ANDROGEN_GENES_FROM_	KRAS_TOP100_CONTROL	FRASOR_ER_UP	HOX_LIST_JP	MAP00071_Fatty_acid_	MAP00640_Propanoate_	MAP00280_Valine_leuc	electron_transport	ANTI_CD44_UP	caspasePathway
ALDH1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
EHHADH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
PKLR	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APRT	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AMPD2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PDE1A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PAICS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RRM2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
POLR2F	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
NP	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
NME1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
NME2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
POLR2D	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
POLR2K	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
POLR2J	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORC3L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSK3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTTG1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPL1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZW10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC2L5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC2L1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCCIP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
E2F2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC45L	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHEK1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1B	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNA2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TSAP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CYP4F12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP19A1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
CYP3A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
CYP2C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
HSD3B1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TGFB1I1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARSD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SHBG	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SULT2B1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HSD11B2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FKBP5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RWDD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RDH5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TMEPAI	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BYSL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EBNA1BP2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SKB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HMGA2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PHLDA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DKK1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LRP8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CTSL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UMPK	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UMPS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCAP31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3S9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLO1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA2G4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBG1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU3IP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC3A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC84549	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNB2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PICALM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPP20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEH1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB9P40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBA52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBE2D3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMD2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMA7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MKI67	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UBE2D1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H2AFX	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMD3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMB7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
