GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
rasPathway	22	BioCarta	0.60308	1.8903	0.002024	0.1714	0.136	0.727	0.27	0.532	0	0.063
ngfPathway	19	BioCarta	0.58879	1.7927	0.001898	0.29535	0.366	0.579	0.212	0.457	0	0.083
UPREG_BY_HOXA9	29	Manually Curated	0.5832	1.7605	0.01111	0.27522	0.461	0.517	0.171	0.43	0	0.063
igf1Pathway	20	BioCarta	0.55742	1.7382	0.007505	0.25669	0.517	0.65	0.258	0.483	0.19977	0.045
XINACT_MERGED	16	na	0.60528	1.6472	0.03462	0.4874	0.785	0.5	0.185	0.408	0.38372	0.124
egfPathway	27	The epidermal growth factor (EGF) peptide stimulates the EGF receptor to promote cell proliferation via the MAP kinase and Ras pathways.	0.48185	1.5981	0.02381	0.60866	0.907	0.519	0.254	0.388	0.48962	0.184
insulinPathway	21	BioCarta	0.48505	1.562	0.02295	0.69687	0.95	0.571	0.258	0.425	0.59077	0.229
MAPK_Cascade	21	GO	0.49233	1.5537	0.01625	0.64789	0.957	0.476	0.172	0.395	0.55743	0.181
BRCA_UP	39	Welcsh_et_al_2002	0.46066	1.5482	0.03636	0.5991	0.96	0.436	0.209	0.346	0.50926	0.15
ST_ERK1_ERK2_MAPK_Pathway	28	Signalling Transduction KE	0.44366	1.5479	0.0239	0.54051	0.961	0.464	0.235	0.356	0.46122	0.122
NFKB_REDUCED	21	Hinata_et_al_2003	0.57548	1.5198	0.05051	0.60061	0.976	0.381	0.129	0.333	0.52053	0.149
gcrPathway	18	BioCarta	0.50218	1.4997	0.05323	0.63534	0.984	0.389	0.211	0.307	0.56857	0.159
pitx2Pathway	16	BioCarta	0.51732	1.4751	0.0689	0.68696	0.99	0.375	0.075	0.347	0.61746	0.195
erkPathway	29	Cell growth is promoted by Ras activation of the anti-apoptotic p44/42 MAP kinase pathway.	0.44336	1.4714	0.0463	0.65189	0.991	0.517	0.26	0.384	0.58313	0.168
SA_B_CELL_RECEPTOR_COMPLEXES	23	SigmaAldrich	0.44823	1.4677	0.04406	0.62237	0.992	0.478	0.211	0.378	0.56227	0.14
bcrPathway	34	B cell antigen receptors (BCRs) activate tyrosine kinases and transiently increase tyrosine phosphorylation on binding to antigen.	0.42675	1.461	0.03454	0.60882	0.994	0.441	0.225	0.343	0.55307	0.125
pdgfPathway	27	BioCarta	0.45096	1.4521	0.07537	0.60613	0.994	0.519	0.26	0.385	0.55051	0.122
ST_Phosphoinositide_3_Kinase_Pathway	32	Signalling Transduction KE	0.39783	1.4488	0.04569	0.58373	0.995	0.406	0.235	0.312	0.53356	0.109
proteasomePathway	21	BioCarta	0.54564	1.4465	0.1205	0.56089	0.995	0.571	0.244	0.433	0.51084	0.085
fmlppathway	36	The fMLP receptor is a G-protein coupled receptor in neutrophiles that recognizes formylated bacterial peptides and activates NADPH oxidase.	0.37784	1.3988	0.06349	0.71025	0.998	0.444	0.201	0.356	0.65912	0.181
cdmacPathway	15	Cadmium 2+ promotes cell proliferation in cultured macrophages by entering the cell via calcium channels and activating the MAP kinase pathway.	0.47452	1.3946	0.07749	0.69325	0.999	0.533	0.253	0.399	0.64081	0.164
aktPathway	19	Second messenger PIP3 promotes cell survival by activating the anti-apoptotic kinase AKT.	0.43075	1.385	0.1032	0.69723	0.999	0.316	0.151	0.269	0.64178	0.159
hcmvPathway	16	BioCarta	0.47343	1.3723	0.08498	0.71607	0.999	0.375	0.172	0.311	0.66857	0.168
Glycogen_Metabolism	34	BioCarta	0.37394	1.3649	0.08582	0.71274	1	0.235	0.105	0.211	0.66599	0.171
at1rPathway	34	Binding of angiotensin II to AT1-R activates Ca2+ signaling and the JNK pathway.	0.3787	1.3465	0.09027	0.75417	1	0.441	0.212	0.349	0.71309	0.206
nkcellsPathway	18	BioCarta	0.46459	1.3426	0.1157	0.73992	1	0.333	0.109	0.298	0.70027	0.19
igf1rPathway	15	BioCarta	0.45611	1.3386	0.1535	0.72866	1	0.6	0.287	0.428	0.68312	0.175
pyk2Pathway	28	BioCarta	0.4015	1.338	0.08961	0.70447	1	0.429	0.212	0.339	0.66319	0.145
metPathway	35	BioCarta	0.367	1.3291	0.114	0.71275	1	0.486	0.254	0.364	0.67526	0.149
ndkDynaminPathway	17	BioCarta	0.4703	1.3196	0.1429	0.72213	1	0.353	0.116	0.313	0.69118	0.155
HTERT_UP	109	Smith_et_al_2003	0.37105	1.3151	0.1611	0.71545	1	0.321	0.159	0.273	0.69144	0.143
spryPathway	16	BioCarta	0.44731	1.3091	0.1434	0.71395	1	0.625	0.27	0.457	0.6844	0.141
fcer1Pathway	37	In mast cells, Fc epsilon receptor 1 activates BTK, PKC, and the MAP kinase pathway to promote degranulation and arachnidonic acid release.	0.35894	1.2999	0.09828	0.72414	1	0.432	0.225	0.336	0.69411	0.157
