Gene	BRCA_UP	UPREG_BY_HOXA9	rasPathway	bcrPathway	fmlppathway	MAPK_Cascade	SA_B_CELL_RECEPTOR_C	erkPathway	ngfPathway	igf1Pathway	insulinPathway	egfPathway	pdgfPathway	ST_ERK1_ERK2_MAPK_Pa	ST_Phosphoinositide_	proteasomePathway	NFKB_REDUCED	XINACT_MERGED	gcrPathway	pitx2Pathway
MAP2K1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ELK1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
RAF1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
SOS1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
PIK3CA	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0
HRAS	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0
FOS	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0
MAPK8	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
SRF	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
RASA1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
HTATIP	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RAC1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NFKBIA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP3CC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CALM3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAPK14	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP3CB	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRR	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NGFR	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DPM2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NGFB	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
EGFR	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
STAT3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
IGF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IRS1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DAF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PPP1R13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YWHAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FOXO1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SFN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PDK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CDKN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YWHAE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RPS6KA3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
BAD	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
RPS6KA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
