Gene	GPCRs_Class_A_Rhodop	HTERT_DOWN	p53_signalling	MAP00561_Glycerolipi	inflamPathway	cytokinePathway	no2il12Pathway	nktPathway	MAP00195_Photosynthe	cell_adhesion_recept	ck1Pathway	hsp27Pathway	lairPathway	P53_UP	ST_Interleukin_4_Pat	badPathway	p53hypoxiaPathway	chemicalPathway	p53Pathway	radiation_sensitivit
BCL2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1
BAX	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
CDKN1A	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
MDM2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
IL1A	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
TNF	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IL4	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
IL2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL12A	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
IL16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL15	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNB1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1D	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
HIC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CPB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADCY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDK5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GRM1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CDK5R1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRKAR1A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PRKACG	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
BBC3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NINJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PLK3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDB2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACTA1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HSPB1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MAPKAPK2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PML	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK8IP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRAP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDRG4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53AP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP2K7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MADCAM1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITGAX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITGA7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITGA10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITGAM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ITGAL	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
C6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SELPLG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DRD1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HTR2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3AR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBXA2R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPRL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDNRB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPRL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALR3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPRL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMBR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPYR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BDKRB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMKOR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA1D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPRD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRD3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDNRA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCKBR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC1R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTNR1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCBP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTSR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2RL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IL12RB2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CCR2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
