GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
TESTIS_GENES_FROM_XHX_AND_NETAFFX	73	na	-0.61229	-1.9914	0	0.019931	0.023	0.452	0.144	0.389	0	0.005
MAP00650_Butanoate_metabolism	20	GenMAPP	-0.51967	-1.5633	0.03523	1	0.725	0.35	0.105	0.314	1	0.517
NFKB_REDUCED	21	Hinata_et_al_2003	-0.5484	-1.4574	0.0677	1	0.843	0.571	0.318	0.39	1	0.675
lairPathway	16	BioCarta	-0.47351	-1.4272	0.05927	1	0.864	0.375	0.154	0.318	1	0.656
KRAS_TOP100_KNOCKDOWN	84	Cordero_et_al_2005	-0.35184	-1.3876	0.05138	1	0.889	0.333	0.226	0.259	1	0.69
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	46	na	-0.37413	-1.3768	0.04274	1	0.893	0.261	0.162	0.219	1	0.581
AR_MOUSE	46	na	-0.37413	-1.3768	0.04274	1	0.893	0.261	0.162	0.219	1	0.581
shhPathway	15	BioCarta	-0.48917	-1.3756	0.09015	1	0.893	0.4	0.262	0.295	1	0.52
ST_Wnt_Ca2_cyclic_GMP_Pathway	19	Signalling Transduction KE	-0.48125	-1.3719	0.1274	1	0.896	0.316	0.151	0.269	0.96078	0.485
ANTI_CD44_UP	23	Hogerkorp_et_al_2003	-0.45998	-1.3472	0.1074	1	0.909	0.522	0.294	0.369	1	0.507
CR_CAM	92	PNAS_2002	-0.33449	-1.3156	0.1031	1	0.925	0.283	0.208	0.225	1	0.541
gata3Pathway	15	BioCarta	-0.42432	-1.3111	0.1174	1	0.927	0.133	0.0157	0.131	1	0.524
EMT_DOWN	39	Jechlinger_et_al_2003	-0.38769	-1.3025	0.1507	1	0.932	0.231	0.106	0.207	1	0.515
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	62	na	-0.32774	-1.279	0.0998	1	0.937	0.226	0.173	0.187	1	0.544
ANDROGEN_GENES_FROM_NETAFFX	62	na	-0.32134	-1.2147	0.1696	1	0.956	0.226	0.152	0.192	1	0.668
cell_adhesion	182	The attachment of a cell, either to another cell or to the extracellular matrix, via cell adhesion molecules.	-0.2953	-1.2054	0.1856	1	0.96	0.302	0.232	0.235	1	0.663
