GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chr15q25	29	Cytogenetic band	-0.43131	-1.4661	0.04184	1	0.82	0.345	0.185	0.282	1	0.733
chr1q24	30	Cytogenetic band	-0.42084	-1.4347	0.06749	1	0.847	0.333	0.141	0.287	1	0.616
chr7q36	25	Cytogenetic band	-0.39563	-1.2863	0.1885	1	0.936	0.4	0.175	0.331	1	0.81
chr17q25	61	Cytogenetic band	-0.30929	-1.2458	0.1501	1	0.959	0.279	0.124	0.246	1	0.807
chr7q34	17	Cytogenetic band	-0.41469	-1.2332	0.208	1	0.967	0.176	0.0685	0.165	1	0.776
chr19p13	211	Cytogenetic band	-0.28051	-1.2319	0.2134	1	0.967	0.289	0.157	0.249	1	0.721
chr4q13	37	Cytogenetic band	-0.34253	-1.2238	0.2	1	0.972	0.27	0.118	0.239	1	0.595
chr15q22	20	Cytogenetic band	-0.37926	-1.2238	0.2171	1	0.972	0.4	0.224	0.311	1	0.679
chr2q35	31	Cytogenetic band	-0.3545	-1.2179	0.2198	1	0.973	0.452	0.255	0.337	1	0.547
chr16p11	40	Cytogenetic band	-0.35631	-1.1883	0.284	1	0.981	0.45	0.196	0.363	1	0.583
chr12p13	73	Cytogenetic band	-0.27635	-1.1548	0.2535	1	0.984	0.342	0.184	0.282	1	0.619
chr20p11	18	Cytogenetic band	-0.372	-1.1313	0.2878	1	0.987	0.333	0.244	0.253	1	0.639
chr19q13	235	Cytogenetic band	-0.25044	-1.1108	0.3242	1	0.989	0.268	0.162	0.23	1	0.654
chr1p36	122	Cytogenetic band	-0.23552	-1.0702	0.3571	1	0.993	0.238	0.143	0.206	1	0.709
chr19	454	Chromosome 19	-0.23258	-1.0684	0.376	1	0.993	0.249	0.16	0.219	1	0.681
chr11q24	19	Cytogenetic band	-0.32326	-1.0543	0.4012	1	0.994	0.263	0.121	0.232	1	0.673
chr18p11	31	Cytogenetic band	-0.30087	-1.0421	0.3941	1	0.995	0.29	0.102	0.262	1	0.681
chr2p13	33	Cytogenetic band	-0.30221	-1.0282	0.4182	1	0.995	0.485	0.251	0.365	1	0.677
chr11q12	49	Cytogenetic band	-0.25016	-0.99099	0.4749	1	0.996	0.286	0.178	0.236	1	0.746
chr15q26	27	Cytogenetic band	-0.29858	-0.97793	0.5084	1	0.997	0.37	0.222	0.289	1	0.749
chr7p21	16	Cytogenetic band	-0.32568	-0.95125	0.5141	1	0.997	0.188	0.0443	0.179	1	0.795
chr2p23	33	Cytogenetic band	-0.28817	-0.94849	0.5079	1	0.997	0.242	0.105	0.218	1	0.767
chr1q32	68	Cytogenetic band	-0.22187	-0.92588	0.5767	1	1	0.206	0.119	0.183	1	0.794
chr3p21	85	Cytogenetic band	-0.22353	-0.91613	0.5684	1	1	0.294	0.196	0.238	1	0.799
chr7p15	27	Cytogenetic band	-0.28523	-0.911	0.6038	1	1	0.296	0.137	0.256	1	0.774
chr3q22	19	Cytogenetic band	-0.29215	-0.90011	0.5921	1	1	0.316	0.158	0.266	1	0.777
chr16q12	25	Cytogenetic band	-0.3216	-0.89253	0.57	1	1	0.4	0.161	0.336	1	0.771
chr1q23	55	Cytogenetic band	-0.24549	-0.88035	0.63	1	1	0.473	0.293	0.336	1	0.781
chr6p25	16	Cytogenetic band	-0.31046	-0.8797	0.6019	1	1	0.25	0.102	0.225	1	0.758
chr3p25	30	Cytogenetic band	-0.25052	-0.87912	0.6438	1	1	0.233	0.144	0.2	1	0.718
chr10q23	41	Cytogenetic band	-0.22674	-0.87228	0.6749	1	1	0.146	0.0708	0.137	1	0.706
chr15	224	Chromosome 15	-0.19053	-0.86573	0.6957	1	1	0.241	0.183	0.201	1	0.699
chr2p11	16	Cytogenetic band	-0.28751	-0.85207	0.6358	1	1	0.313	0.193	0.252	1	0.704
chr11q23	51	Cytogenetic band	-0.21753	-0.84711	0.7055	1	1	0.353	0.227	0.274	1	0.69
chr1q31	18	Cytogenetic band	-0.28843	-0.84644	0.6915	1	1	0.278	0.161	0.234	1	0.653
chr10q22	37	Cytogenetic band	-0.23942	-0.84153	0.642	1	1	0.162	0.0751	0.151	1	0.636
chr22q12	60	Cytogenetic band	-0.21461	-0.8202	0.7208	1	1	0.15	0.0951	0.137	1	0.681
chr7q22	51	Cytogenetic band	-0.22401	-0.81936	0.6922	1	1	0.196	0.121	0.173	1	0.637
chr12p12	22	Cytogenetic band	-0.24367	-0.81197	0.7694	1	1	0.318	0.229	0.246	1	0.622
chr12q13	113	Cytogenetic band	-0.1734	-0.80588	0.8072	1	1	0.168	0.115	0.15	1	0.601
chr11p13	15	Cytogenetic band	-0.28227	-0.80522	0.7265	0.99403	1	0.2	0.109	0.179	1	0.552
chr17q21	114	Cytogenetic band	-0.19163	-0.78703	0.8422	1	1	0.325	0.242	0.249	1	0.593
chr11p15	91	Cytogenetic band	-0.17883	-0.77964	0.8303	1	1	0.143	0.0866	0.132	1	0.592
chr2q32	19	Cytogenetic band	-0.24562	-0.77151	0.7749	0.9956	1	0.158	0.0512	0.15	1	0.573
chr8p12	17	Cytogenetic band	-0.26623	-0.7702	0.7588	0.9761	1	0.294	0.158	0.248	1	0.516
chr1p35	32	Cytogenetic band	-0.21354	-0.73769	0.8466	1	1	0.313	0.205	0.249	1	0.642
chr5q33	25	Cytogenetic band	-0.22455	-0.70231	0.9015	1	1	0.52	0.314	0.357	1	0.785
chr7p14	20	Cytogenetic band	-0.26258	-0.69624	0.8613	1	1	0.6	0.325	0.406	1	0.748
chr14q23	29	Cytogenetic band	-0.20871	-0.68111	0.8544	1	1	0.241	0.144	0.207	1	0.783
chr8	279	Chromosome 8	-0.14461	-0.67833	0.9742	1	1	0.247	0.212	0.201	1	0.732
chr6q22	19	Cytogenetic band	-0.22129	-0.64286	0.9269	1	1	0.263	0.161	0.221	1	0.826
chr7q31	27	Cytogenetic band	-0.25553	-0.6411	0.9069	1	1	0.185	0.118	0.164	1	0.773
chr13q32	19	Cytogenetic band	-0.20098	-0.62879	0.9409	1	1	0.158	0.0949	0.143	1	0.748
chr2q24	25	Cytogenetic band	-0.20466	-0.62376	0.961	1	1	0.4	0.282	0.288	1	0.665
chr9q33	30	Cytogenetic band	-0.16163	-0.61195	0.9756	0.99466	1	0.433	0.281	0.313	1	0.573
