GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
amiPathway	22	Endogenous anti-thrombosis pathways are overwhelmed in plaque-narrowed blood vessels, resulting in potentially lethal myocardial infarction.	0.73425	2.0201	0.001898	0.011516	0.033	0.5	0.0985	0.453	0	0.002
cskPathway	22	Csk inhibits T-cell activation by phosphorylating Lck; Csk is regulated by cAMP-dependent kinases and is opposed by the T-cell activator CD45.	0.73425	2.0201	0.001898	0.011516	0.033	0.5	0.0985	0.453	0	0.002
badPathway	19	When phosphorylated, BAD is inhibited by sequestration; when non-phosphorylated, it promotes apoptosis by inactivating pro-survival BCL-XL and BCL-2.	0.63675	2.0002	0	0.0097358	0.039	0.421	0.146	0.361	0	0.001
Il12Pathway	22	BioCarta	0.66632	1.8535	0.008	0.053613	0.238	0.455	0.0876	0.416	0	0.003
no2il12Pathway	16	BioCarta	0.70376	1.8005	0.01761	0.076469	0.364	0.438	0.0876	0.4	0	0.002
GO_ROS	18	FO	0.61388	1.7593	0.004016	0.092805	0.454	0.5	0.163	0.42	0	0.003
tob1Pathway	18	BioCarta	0.61392	1.6527	0.04381	0.21423	0.737	0.389	0.0876	0.356	0.15365	0.017
HEMO_TF_LIST_JP	66	Manually Curated	0.43659	1.646	0.00947	0.1984	0.757	0.364	0.184	0.3	0.14638	0.008
ctla4Pathway	16	T cell activation requires interaction with an antigen-MHC-I complex on an antigen-presenting cell (APC), as well as CD28 interaction with the APC's CD80 or 86.	0.67024	1.6111	0.04322	0.23127	0.84	0.75	0.198	0.603	0.1705	0.015
ST_G_alpha_i_Pathway_	29	Signalling Transduction KE	0.46314	1.6102	0.01134	0.20932	0.84	0.483	0.267	0.356	0.15456	0.008
il17Pathway	17	BioCarta	0.60307	1.5239	0.08507	0.35214	0.955	0.471	0.0876	0.431	0.29966	0.032
SIG_BCR_Signaling_Pathway	39	SignallingAlliance	0.44779	1.4955	0.07308	0.38463	0.973	0.41	0.222	0.322	0.33209	0.038
MAP00590_Prostaglandin_and_leukotriene_metabolism	15	GenMAPP	0.53313	1.4842	0.04283	0.38014	0.978	0.467	0.176	0.386	0.32601	0.035
FETAL_LIVER_HS_ENRICHED_TF_JP	53	Manually Curated	0.38407	1.4605	0.05714	0.40866	0.986	0.321	0.184	0.264	0.35564	0.04
ST_GRANULE_CELL_SURVIVAL_PATHWAY	21	Signalling Transduction KE	0.46936	1.4573	0.07813	0.38827	0.988	0.429	0.216	0.337	0.33905	0.029
HOX_LIST_JP	30	Manually Curated	0.41603	1.4112	0.0641	0.47176	0.997	0.333	0.163	0.281	0.42314	0.059
ST_ADRENERGIC	32	Signalling Transduction KE	0.39412	1.4074	0.05576	0.45385	0.997	0.5	0.278	0.363	0.40843	0.048
CR_IMMUNE_FUNCTION	46	PNAS_2009	0.44308	1.3992	0.1429	0.44875	0.997	0.326	0.13	0.286	0.4092	0.042
GPCRs_Class_B_Secretin-like	18	GO	0.48259	1.3534	0.1207	0.53905	1	0.333	0.15	0.284	0.49091	0.061
tcrPathway	39	BioCarta	0.38835	1.3499	0.1134	0.52113	1	0.256	0.0876	0.236	0.47404	0.056
CBF_LEUKEMIA_DOWNING_AML	41	Manually Curated	0.39157	1.343	0.1212	0.51315	1	0.415	0.202	0.333	0.46445	0.05
SIG_PIP3_signaling_in_B_lymphocytes	28	SignallingAlliance	0.39938	1.3378	0.1248	0.50299	1	0.464	0.267	0.342	0.46089	0.042
ST_Differentiation_Pathway_in_PC12_Cells	34	Signalling Transduction KE	0.37333	1.3312	0.1046	0.49663	1	0.353	0.222	0.277	0.45685	0.033
fatty_acid_metabolism	15	BioCarta	0.47317	1.3148	0.1703	0.51379	1	0.667	0.292	0.474	0.47637	0.038
RAP_UP	116	Peng_at_al_2002	0.29562	1.3023	0.1016	0.52242	1	0.362	0.244	0.28	0.48899	0.036
Wnt_Signaling	36	BioCarta	0.35272	1.2987	0.1171	0.51122	1	0.389	0.199	0.314	0.48536	0.031
MAP00561_Glycerolipid_metabolism	37	GenMAPP	0.36361	1.2185	0.1961	0.69338	1	0.459	0.288	0.329	0.67385	0.116
ST_MONOCYTE_AD_PATHWAY	23	Signalling Transduction KE	0.35906	1.2063	0.2	0.70375	1	0.478	0.275	0.348	0.68763	0.12
ADULT_LIVER_vs_FETAL_LIVER_GNF2	46	Manually Curated	0.32275	1.1896	0.202	0.72361	1	0.413	0.334	0.278	0.70431	0.134
ccr5Pathway	15	CCR5 is a G-protein coupled receptor expressed in macrophages that recognizes chemokine ligands and is targeted by the HIV envelope protein GP120.	0.4132	1.1804	0.2465	0.72462	1	0.4	0.17	0.333	0.70913	0.13
ST_Wnt_beta_catenin_Pathway	16	Signalling Transduction KE	0.39099	1.1776	0.2565	0.70834	1	0.313	0.154	0.265	0.68996	0.11
crebPathway	19	CREB is a transcription factor that binds to cAMP-responsive elements (CREs) to activate transcription in response to extracellular signaling.	0.38239	1.1706	0.2589	0.70503	1	0.211	0.132	0.183	0.68407	0.106
ST_Gaq_Pathway	24	Signalling Transduction KE	0.33382	1.1513	0.2523	0.73389	1	0.333	0.205	0.266	0.71733	0.12
ST_JNK_MAPK_Pathway	29	Signalling Transduction KE	0.34413	1.1274	0.3044	0.77524	1	0.414	0.216	0.326	0.75619	0.158
ST_T_Cell_Signal_Transduction	29	Signalling Transduction KE	0.36485	1.1228	0.3289	0.76477	1	0.379	0.221	0.297	0.75275	0.143
ANDROGEN_GENES_FROM_NETAFFX	35	na	0.34761	1.116	0.3026	0.76049	1	0.457	0.291	0.326	0.74992	0.134
cell_surface_receptor_linked_signal_transduction	100	Any series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell.	0.27836	1.1044	0.3088	0.77088	1	0.25	0.151	0.216	0.75816	0.136
nos1Pathway	18	BioCarta	0.38047	1.0995	0.351	0.7643	1	0.444	0.302	0.311	0.75552	0.13
MAPK_Cascade	19	GO	0.35898	1.0926	0.3281	0.76249	1	0.211	0.0663	0.197	0.75319	0.122
mprPathway	21	BioCarta	0.35614	1.0886	0.3581	0.7523	1	0.19	0.0985	0.172	0.74632	0.107
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	25	Signalling Transduction KE	0.32208	1.088	0.3505	0.7358	1	0.4	0.267	0.295	0.72848	0.094
MAP00860_Porphyrin_and_chlorophyll_metabolism	17	GenMAPP	0.36195	1.0635	0.3595	0.78034	1	0.294	0.131	0.256	0.77337	0.124
