GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
MAP00010_Glycolysis_Gluconeogenesis	45	GenMAPP	-0.61067	-2.1341	0	0.0058901	0.005	0.444	0.101	0.403	0	0.005
vegfPathway	21	BioCarta	-0.665	-2.0128	0	0.028378	0.04	0.333	0.103	0.3	0	0.005
INSULIN_2F_UP	113	Rome_et_al_2003	-0.52569	-1.8774	0.004193	0.14727	0.221	0.451	0.202	0.368	0	0.03
insulin_signalling	77	BioCarta	-0.41069	-1.8339	0	0.17028	0.299	0.26	0.132	0.229	0	0.029
HTERT_UP	104	Smith_et_al_2003	-0.50041	-1.7982	0.006135	0.18756	0.375	0.51	0.289	0.37	0	0.029
MAP00251_Glutamate_metabolism	18	GenMAPP	-0.61511	-1.7691	0.01087	0.19954	0.436	0.556	0.199	0.446	0	0.027
ceramidePathway	18	Ceramide is a lipid signaling molecule that can activate proliferative or apoptotic pathways, depending on signaling context, localization, and cell type.	-0.56779	-1.7469	0.004264	0.20422	0.476	0.444	0.131	0.387	0	0.03
p53_signalling	65	BioCarta	-0.43715	-1.7465	0	0.17924	0.477	0.385	0.198	0.313	0	0.02
tRNA_Synthetases	16	BioCarta	-0.66813	-1.7049	0.02459	0.22459	0.592	0.75	0.237	0.574	0.14903	0.03
breast_cancer_estrogen_signalling	80	GEArray	-0.39723	-1.6799	0.007692	0.25033	0.655	0.3	0.156	0.257	0.15505	0.034
MAP00970_Aminoacyl_tRNA_biosynthesis	15	GenMAPP	-0.65945	-1.6785	0.02356	0.22944	0.659	0.733	0.237	0.561	0.14226	0.029
raccycdPathway	20	BioCarta	-0.53368	-1.6374	0.01837	0.29061	0.767	0.4	0.167	0.335	0.20191	0.042
cxcr4Pathway	19	CXCR4 is a G-protein coupled receptor that responds to the ligand SDF-1 by activating Ras and PI3 kinase to promote lymphocyte chemotaxis.	-0.53907	-1.63	0.008299	0.28355	0.782	0.368	0.0978	0.334	0.20472	0.039
mtorPathway	20	BioCarta	-0.55233	-1.5949	0.04237	0.33789	0.841	0.5	0.185	0.409	0.2489	0.046
bcl2family_and_reg_network	19	GEArray	-0.50771	-1.5884	0.04376	0.32911	0.852	0.316	0.0619	0.297	0.24317	0.047
GLUCO	26	Manually Curated	-0.52915	-1.5746	0.05172	0.33872	0.874	0.731	0.302	0.513	0.25762	0.046
CR_TRANSPORT_OF_VESICLES	19	PNAS_2015	-0.49203	-1.5479	0.05568	0.38111	0.909	0.368	0.157	0.312	0.30125	0.05
sppaPathway	18	BioCarta	-0.5218	-1.5215	0.04842	0.42392	0.94	0.278	0.105	0.249	0.33532	0.061
LEU_DOWN	124	Peng_at_al_2002	-0.47963	-1.5156	0.1037	0.41671	0.946	0.452	0.231	0.356	0.3346	0.06
GLYCOL	16	Manually Curated	-0.5618	-1.5042	0.06653	0.42322	0.95	0.375	0.0746	0.348	0.3435	0.061
MAP00620_Pyruvate_metabolism	26	GenMAPP	-0.48373	-1.5019	0.06998	0.40972	0.95	0.538	0.266	0.397	0.33532	0.052
fmlppathway	31	The fMLP receptor is a G-protein coupled receptor in neutrophiles that recognizes formylated bacterial peptides and activates NADPH oxidase.	-0.46313	-1.4999	0.04193	0.39675	0.953	0.419	0.19	0.342	0.3255	0.043
FRASOR_ER_DOWN	52	Frasor_et_al_2004	-0.36872	-1.45	0.05967	0.50315	0.977	0.346	0.161	0.293	0.43223	0.083
ANDROGEN_UP_GENES	42	na	-0.37359	-1.4418	0.03234	0.50673	0.983	0.381	0.17	0.319	0.44149	0.083
rasPathway	18	BioCarta	-0.4675	-1.4365	0.07054	0.49987	0.984	0.389	0.162	0.327	0.4377	0.078
HOXA9_DOWN	27	Dorsam_et_al_2004	-0.41428	-1.4336	0.06889	0.48828	0.985	0.259	0.0953	0.236	0.42891	0.067
FRASOR_ER_UP	18	Frasor_et_al_2004	-0.4665	-1.4254	0.06715	0.49288	0.985	0.333	0.146	0.286	0.43167	0.064
MAP00500_Starch_and_sucrose_metabolism	19	GenMAPP	-0.42971	-1.4129	0.08132	0.50603	0.988	0.263	0.0763	0.244	0.4411	0.077
ecmPathway	17	Extracellular matrix induces integrin-mediated FAK phosphorylation in epithelial cells, leading to PI3 and MAP kinase activation and actin reorganization.	-0.47649	-1.4077	0.1066	0.50107	0.991	0.294	0.105	0.264	0.44354	0.069
eif4Pathway	19	The eIF-4F complex recognizes 5' mRNA caps, recruits RNA helicases, and maintains mRNA-ribosome bridging.	-0.52709	-1.4053	0.1264	0.49121	0.991	0.474	0.228	0.367	0.4352	0.06
wntPathway	19	BioCarta	-0.49638	-1.3995	0.1068	0.48934	0.992	0.579	0.236	0.444	0.43393	0.06
radiation_sensitivity	23	BioCarta	-0.43962	-1.3989	0.09091	0.47484	0.992	0.609	0.291	0.433	0.42063	0.048
PGC	211	Manually Curated	-0.32661	-1.3935	0.1016	0.47342	0.995	0.346	0.231	0.277	0.41453	0.048
p53hypoxiaPathway	19	BioCarta	-0.42603	-1.3913	0.105	0.46433	0.995	0.526	0.253	0.395	0.40576	0.045
GLUT_DOWN	199	Peng_at_al_2002	-0.4031	-1.3877	0.1822	0.45952	0.995	0.397	0.237	0.315	0.40238	0.043
MAP00240_Pyrimidine_metabolism	35	GenMAPP	-0.44328	-1.3847	0.1395	0.45351	0.996	0.4	0.17	0.334	0.40075	0.038
CR_CELL_CYCLE	62	PNAS_2004	-0.39647	-1.368	0.1277	0.4804	0.996	0.274	0.113	0.246	0.4309	0.045
erkPathway	26	Cell growth is promoted by Ras activation of the anti-apoptotic p44/42 MAP kinase pathway.	-0.41122	-1.3657	0.1021	0.47268	0.997	0.385	0.165	0.323	0.42153	0.042
cell_cycle_regulator	19	OBSOLETE (was not defined before being made obsolete).	-0.42795	-1.365	0.1068	0.46195	0.997	0.526	0.203	0.421	0.41106	0.037
ccr3Pathway	15	CCR3 is a G-protein coupled receptor that recruits eosinophils to inflammation sites via chemokine ligands.	-0.43949	-1.3644	0.09916	0.45162	0.997	0.267	0.109	0.238	0.40238	0.034
RAP_DOWN	156	Peng_at_al_2002	-0.41218	-1.3639	0.1744	0.44154	0.997	0.423	0.231	0.335	0.39257	0.027
UPREG_BY_HOXA9	27	Manually Curated	-0.42141	-1.3621	0.1014	0.43514	0.997	0.407	0.26	0.303	0.3894	0.023
MAP00052_Galactose_metabolism	19	GenMAPP	-0.46603	-1.3601	0.1326	0.42927	0.998	0.316	0.151	0.269	0.38259	0.022
MAP00640_Propanoate_metabolism	17	GenMAPP	-0.48839	-1.3444	0.176	0.45287	0.998	0.412	0.194	0.333	0.4061	0.027
DOWNREG_BY_HOXA9	25	Manually Curated	-0.39708	-1.3346	0.1296	0.46468	0.999	0.24	0.0953	0.218	0.42118	0.03
BRCA_UP	38	Welcsh_et_al_2002	-0.39562	-1.3293	0.1022	0.46633	0.999	0.342	0.172	0.285	0.42266	0.026
DNA_DAMAGE_SIGNALLING	68	GO	-0.32537	-1.3287	0.09534	0.45789	0.999	0.221	0.127	0.195	0.41489	0.024
drug_resistance_and_metabolism	81	BioCarta	-0.30274	-1.325	0.06013	0.45619	0.999	0.296	0.198	0.241	0.41119	0.023
gsk3Pathway	18	BioCarta	-0.44449	-1.3216	0.1616	0.45336	0.999	0.556	0.24	0.424	0.40967	0.024
deathPathway	23	Death receptors such as Fas and DR3, 4, and 5 transduce pro-apoptotic signaling by oligomerizing to activate the caspase cascade.	-0.4272	-1.3186	0.1517	0.45065	0.999	0.348	0.156	0.295	0.40928	0.021
pyk2Pathway	24	BioCarta	-0.42387	-1.3176	0.1388	0.44409	0.999	0.5	0.231	0.386	0.4026	0.018
Proteasome_Degradation	27	BioCarta	-0.47043	-1.3064	0.205	0.45793	0.999	0.63	0.339	0.419	0.41935	0.019
il1rPathway	23	BioCarta	-0.38934	-1.2816	0.1723	0.50169	1	0.435	0.231	0.336	0.45928	0.026
cell_cycle_checkpoint	19	A point in the eukaryotic cell cycle where progress through the cycle can be halted until conditions are suitable for the cell to proceed to the next stage.	-0.4407	-1.262	0.1778	0.53677	1	0.474	0.282	0.341	0.49597	0.037
nfkbPathway	16	BioCarta	-0.4356	-1.2592	0.1959	0.5341	1	0.438	0.22	0.342	0.50123	0.032
EMT_UP	49	Jechlinger_et_al_2003	-0.40082	-1.2567	0.219	0.52995	1	0.347	0.182	0.287	0.49452	0.025
cell_cycle_arrest	24	Any process by which progression through the cell cycle is halted during one of the normal phases (G1, S, G2, M).	-0.37553	-1.2499	0.1616	0.53564	1	0.208	0.113	0.186	0.50072	0.03
MAP00340_Histidine_metabolism	19	GenMAPP	-0.42993	-1.2444	0.1978	0.53985	1	0.368	0.11	0.329	0.50578	0.027
pgc1aPathway	16	BioCarta	-0.39977	-1.239	0.1786	0.54232	1	0.375	0.19	0.305	0.5115	0.03
cellcyclePathway	21	Cyclins interact with cyclin-dependent kinases to form active kinase complexes that regulate progression through the cell cycle.	-0.40651	-1.2384	0.2174	0.53465	1	0.476	0.283	0.343	0.50298	0.027
NFKB_INDUCED	96	Hinata_et_al_2003	-0.32402	-1.2324	0.2135	0.53828	1	0.292	0.162	0.249	0.50658	0.025
metPathway	29	BioCarta	-0.3786	-1.2291	0.2129	0.53639	1	0.379	0.159	0.321	0.50571	0.021
CR_DNA_MET_AND_MOD	19	PNAS_2007	-0.41562	-1.2226	0.2405	0.54212	1	0.526	0.298	0.371	0.51154	0.022
atmPathway	16	The tumor-suppressing protein kinase ATM responds to radiation-induced DNA damage by blocking cell-cycle progression and activating DNA repair.	-0.41271	-1.213	0.2263	0.5539	1	0.5	0.246	0.378	0.52813	0.023
MAP00051_Fructose_and_mannose_metabolism	17	GenMAPP	-0.42057	-1.1977	0.2397	0.58066	1	0.529	0.302	0.371	0.55393	0.029
integrinPathway	27	BioCarta	-0.37009	-1.1964	0.2581	0.57482	1	0.407	0.21	0.323	0.5487	0.028
Cell_Cycle	53	The progression of biochemical and morphological events that occur during nuclear or cellular replication.	-0.35483	-1.1669	0.3084	0.63279	1	0.415	0.288	0.298	0.60414	0.062
igf1mtorPathway	17	BioCarta	-0.42185	-1.1658	0.2924	0.62623	1	0.353	0.178	0.291	0.60189	0.054
insulinPathway	18	BioCarta	-0.40315	-1.1615	0.2777	0.62633	1	0.278	0.14	0.24	0.60054	0.056
KRAS_TOP100_CONTROL	38	Cordero_et_al_2005	-0.31281	-1.1588	0.2392	0.62363	1	0.421	0.249	0.319	0.59747	0.05
calcineurinPathway	16	Increased intracellular calcium activates the phosphatase calcineurin in differentiating keratinocytes.	-0.37884	-1.1514	0.2842	0.62278	1	0.375	0.19	0.305	0.59612	0.045
cell_proliferation	149	The multiplication or reproduction of cells, resulting in the rapid expansion of a cell population.	-0.23727	-1.1514	0.1488	0.63149	1	0.268	0.201	0.221	0.60437	0.051
CR_DEATH	55	PNAS_2006	-0.27576	-1.147	0.2249	0.62408	1	0.164	0.0828	0.152	0.60393	0.041
KRAS_TOP100_KNOCKDOWN	44	Cordero_et_al_2005	-0.36655	-1.1456	0.308	0.61899	1	0.364	0.22	0.286	0.59939	0.039
g1Pathway	24	BioCarta	-0.34386	-1.1438	0.2556	0.61487	1	0.333	0.287	0.239	0.59592	0.035
nthiPathway	16	BioCarta	-0.3895	-1.1411	0.3041	0.6126	1	0.25	0.0978	0.226	0.59197	0.031
ngfPathway	16	BioCarta	-0.3901	-1.1362	0.2851	0.61609	1	0.25	0.0926	0.228	0.59858	0.027
CR_SIGNALLING	159	PNAS_2012	-0.24955	-1.1359	0.2328	0.60903	1	0.245	0.14	0.218	0.59091	0.025
gleevecPathway	18	BioCarta	-0.39549	-1.1358	0.3051	0.60166	1	0.333	0.0964	0.302	0.5857	0.017
GO_0005739	112	GO	-0.31442	-1.1344	0.3038	0.59739	1	0.339	0.219	0.271	0.5821	0.016
