GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
bcrPathway	27	B cell antigen receptors (BCRs) activate tyrosine kinases and transiently increase tyrosine phosphorylation on binding to antigen.	0.57579	1.7369	0.004237	0.96619	0.325	0.519	0.189	0.422	0	0.289
ST_Gaq_Pathway	17	Signalling Transduction KE	0.61842	1.6983	0.02311	0.72168	0.402	0.529	0.166	0.442	0	0.237
ST_GRANULE_CELL_SURVIVAL_PATHWAY	16	Signalling Transduction KE	0.58521	1.6506	0.02277	0.72794	0.501	0.375	0.0875	0.343	0.28724	0.243
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	31	na	0.47434	1.6446	0.01528	0.45943	0.512	0.452	0.208	0.359	0.19605	0.137
AR_MOUSE	31	na	0.47434	1.6446	0.01528	0.45943	0.512	0.452	0.208	0.359	0.19605	0.137
RAP_UP	120	Peng_at_al_2002	0.4083	1.6378	0.01944	0.40557	0.524	0.408	0.234	0.317	0.17427	0.118
SIG_BCR_Signaling_Pathway	35	SignallingAlliance	0.54883	1.619	0.04283	0.40819	0.556	0.429	0.179	0.353	0.17305	0.115
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	21	Signalling Transduction KE	0.51866	1.6093	0.01681	0.38049	0.575	0.238	0.0463	0.228	0.16629	0.108
tcrPathway	31	BioCarta	0.5315	1.6068	0.02814	0.34279	0.578	0.452	0.191	0.367	0.1512	0.085
CR_IMMUNE_FUNCTION	28	PNAS_2009	0.56964	1.6039	0.07822	0.31665	0.584	0.571	0.218	0.448	0.14537	0.073
ST_MONOCYTE_AD_PATHWAY	16	Signalling Transduction KE	0.53665	1.557	0.04303	0.40751	0.664	0.5	0.167	0.417	0.22206	0.106
fcer1Pathway	27	In mast cells, Fc epsilon receptor 1 activates BTK, PKC, and the MAP kinase pathway to promote degranulation and arachnidonic acid release.	0.52548	1.5325	0.04849	0.44477	0.703	0.519	0.258	0.386	0.2642	0.124
ST_B_Cell_Antigen_Receptor	28	Signalling Transduction KE	0.51597	1.5261	0.06749	0.4276	0.711	0.357	0.179	0.294	0.26049	0.115
at1rPathway	26	Binding of angiotensin II to AT1-R activates Ca2+ signaling and the JNK pathway.	0.49637	1.5172	0.04612	0.42242	0.731	0.538	0.269	0.395	0.26387	0.106
tnfr1Pathway	15	BioCarta	0.53279	1.5057	0.04661	0.42254	0.751	0.333	0.103	0.3	0.2614	0.106
SA_B_CELL_RECEPTOR_COMPLEXES	21	SigmaAldrich	0.52041	1.5017	0.06627	0.40743	0.756	0.429	0.179	0.353	0.25169	0.095
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	37	na	0.40064	1.4883	0.05519	0.41631	0.771	0.432	0.208	0.344	0.2656	0.097
gleevecPathway	16	BioCarta	0.57149	1.4862	0.07277	0.39799	0.775	0.313	0.089	0.285	0.25084	0.092
ST_JNK_MAPK_Pathway	27	Signalling Transduction KE	0.46647	1.4854	0.05979	0.37835	0.775	0.444	0.258	0.331	0.23764	0.085
SIG_PIP3_signaling_in_B_lymphocytes	25	SignallingAlliance	0.49755	1.4821	0.07974	0.3657	0.779	0.48	0.179	0.395	0.22982	0.08
LEU_UP	82	Peng_at_al_2002	0.4042	1.4802	0.04989	0.35167	0.781	0.39	0.205	0.313	0.22173	0.071
gpcrPathway	24	BioCarta	0.47787	1.4766	0.05932	0.34354	0.786	0.333	0.0909	0.304	0.21501	0.069
Wnt_Signaling	38	BioCarta	0.45233	1.4705	0.06304	0.34056	0.794	0.447	0.167	0.374	0.21594	0.065
ST_Ga13_Pathway	22	Signalling Transduction KE	0.50893	1.4665	0.08936	0.33497	0.801	0.455	0.166	0.38	0.21408	0.064
ST_ADRENERGIC	26	Signalling Transduction KE	0.43848	1.4623	0.05769	0.33032	0.807	0.462	0.194	0.373	0.21035	0.055
vipPathway	17	BioCarta	0.54674	1.457	0.07463	0.32867	0.819	0.353	0.105	0.316	0.21517	0.055
Glycogen_Metabolism	28	BioCarta	0.42575	1.4563	0.07362	0.31748	0.82	0.357	0.163	0.3	0.20885	0.052
cell_surface_receptor_linked_signal_transduction	68	Any series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell.	0.39785	1.4513	0.07604	0.31567	0.825	0.279	0.122	0.247	0.20801	0.052
tgfbPathway	16	BioCarta	0.5706	1.4453	0.1033	0.31527	0.834	0.438	0.163	0.367	0.20552	0.052
fasPathway	20	Binding of the Fas ligand to the Fas receptor induces caspase activation and consequent apoptosis in the Fas-expressing cell.	0.48342	1.4214	0.09644	0.34939	0.862	0.5	0.239	0.381	0.24228	0.062
ST_T_Cell_Signal_Transduction	32	Signalling Transduction KE	0.44488	1.4173	0.08758	0.34636	0.867	0.375	0.197	0.302	0.24032	0.062
GLYCOGEN	15	Manually Curated	0.51512	1.413	0.1026	0.3435	0.871	0.467	0.163	0.391	0.23756	0.062
ST_G_alpha_i_Pathway_	25	Signalling Transduction KE	0.44796	1.393	0.1023	0.36842	0.885	0.32	0.166	0.268	0.25801	0.066
MAP00350_Tyrosine_metabolism	17	GenMAPP	0.47216	1.3863	0.07547	0.36969	0.889	0.294	0.112	0.262	0.25671	0.066
keratinocytePathway	33	BioCarta	0.43099	1.3812	0.1133	0.36886	0.895	0.333	0.105	0.299	0.25801	0.066
alkPathway	23	Activin receptor-like kinase 3 (ALK3) is required during gestation for cardiac muscle development.	0.49417	1.3774	0.1314	0.3654	0.898	0.478	0.179	0.393	0.25868	0.064
GNF_FEMALE_GENES	61	na	0.45327	1.3549	0.1594	0.39754	0.914	0.443	0.257	0.331	0.29067	0.074
HTERT_DOWN	49	Smith_et_al_2003	0.40375	1.3444	0.1074	0.41036	0.926	0.51	0.252	0.383	0.30956	0.074
EMT_DOWN	32	Jechlinger_et_al_2003	0.46472	1.3376	0.1566	0.41487	0.93	0.5	0.211	0.396	0.31838	0.078
fmlppathway	26	The fMLP receptor is a G-protein coupled receptor in neutrophiles that recognizes formylated bacterial peptides and activates NADPH oxidase.	0.43872	1.33	0.1555	0.41888	0.932	0.385	0.189	0.313	0.32675	0.078
il2Pathway	15	BioCarta	0.51447	1.3288	0.1765	0.41084	0.933	0.333	0.0906	0.304	0.32199	0.073
pyk2Pathway	21	BioCarta	0.4492	1.3245	0.138	0.40943	0.936	0.286	0.0909	0.26	0.32251	0.071
cell_growth_and_or_maintenance	43	The processes pertinent to the integrated function of a cell.	0.36605	1.3227	0.1332	0.40424	0.937	0.279	0.144	0.24	0.32234	0.066
TGF_Beta_Signaling_Pathway	33	BioCarta	0.48774	1.3219	0.1996	0.39616	0.937	0.364	0.18	0.299	0.31501	0.063
PROLIF_GENES	229	Manually Curated	0.30511	1.3098	0.1053	0.40958	0.944	0.358	0.241	0.278	0.33111	0.067
cell_adhesion_molecule_activity	70	OBSOLETE. Mediates the adhesion of the cell to other cells or to the extracellular matrix.	0.35277	1.3064	0.1357	0.40733	0.948	0.4	0.22	0.314	0.33046	0.066
FETAL_LIVER_HS_ENRICHED_TF_JP	50	Manually Curated	0.38917	1.3042	0.1498	0.40274	0.952	0.48	0.303	0.336	0.32683	0.063
edg1Pathway	19	The lipid S1P is an EDG1 ligand promoting chemotaxis via Rac1 and cell survival and proliferation via ERK activation.	0.47038	1.3004	0.166	0.40049	0.953	0.474	0.223	0.369	0.32221	0.061
il1rPathway	22	BioCarta	0.44413	1.2909	0.1871	0.40955	0.954	0.455	0.241	0.346	0.32908	0.064
cell_motility	71	Any process involved in the controlled movement of a cell.	0.34279	1.2855	0.1289	0.41124	0.958	0.296	0.167	0.248	0.33111	0.063
G13_Signaling_Pathway	22	BioCarta	0.40935	1.2827	0.153	0.40767	0.959	0.455	0.173	0.377	0.32575	0.062
raccycdPathway	17	BioCarta	0.47189	1.2791	0.2025	0.40569	0.961	0.412	0.192	0.333	0.32711	0.062
tumor_supressor	15	BioCarta	0.45698	1.2552	0.1926	0.44157	0.97	0.533	0.224	0.414	0.36514	0.073
ceramidePathway	15	Ceramide is a lipid signaling molecule that can activate proliferative or apoptotic pathways, depending on signaling context, localization, and cell type.	0.43841	1.2394	0.1805	0.4631	0.973	0.267	0.14	0.23	0.3863	0.085
INS	20	Manually Curated	0.44315	1.2379	0.2427	0.45796	0.974	0.35	0.166	0.292	0.37975	0.081
insulinPathway	15	BioCarta	0.48521	1.2231	0.2521	0.47868	0.975	0.333	0.108	0.298	0.39982	0.089
ST_Differentiation_Pathway_in_PC12_Cells	27	Signalling Transduction KE	0.39181	1.2193	0.2122	0.47802	0.977	0.148	0.063	0.139	0.39906	0.087
