GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
p53hypoxiaPathway	20	BioCarta	-0.67939	-2.2116	0	0	0	0.3	0.0685	0.28	0	0
hsp27Pathway	15	BioCarta	-0.77829	-2.2021	0	0	0	0.533	0.0856	0.488	0	0
p53Pathway	16	BioCarta	-0.74594	-2.1831	0	0	0	0.313	0.019	0.307	0	0
P53_UP	40	Kannan_et_al_2001	-0.59952	-2.022	0	0.013085	0.049	0.225	0.0448	0.216	0	0
radiation_sensitivity	26	BioCarta	-0.56737	-1.8561	0.002304	0.077826	0.252	0.192	0.00723	0.191	0	0.007
ck1Pathway	15	Caseine kinase 1 (CK1) and cdk5 phosphorylate DARPP32 in the dopamine signaling pathway.	-0.5394	-1.6353	0.02703	0.49543	0.829	0.467	0.143	0.401	0.36111	0.12
inflamPathway	28	BioCarta	-0.54343	-1.621	0.02947	0.47693	0.862	0.536	0.277	0.388	0.34921	0.11
no2il12Pathway	17	BioCarta	-0.62922	-1.6154	0.04057	0.43353	0.874	0.588	0.227	0.455	0.32159	0.085
GPCRs_Class_A_Rhodopsin-like	111	GO	-0.42652	-1.548	0.04036	0.60841	0.952	0.396	0.249	0.301	0.48148	0.17
badPathway	21	When phosphorylated, BAD is inhibited by sequestration; when non-phosphorylated, it promotes apoptosis by inactivating pro-survival BCL-XL and BCL-2.	-0.4736	-1.5411	0.04425	0.57498	0.962	0.286	0.084	0.262	0.46129	0.145
cytokinePathway	21	Intercellular signaling in the immune system occurs via secretion of cytokines, which promote antigen-dependent B and T cell response.	-0.54144	-1.5364	0.05544	0.53855	0.966	0.476	0.211	0.376	0.44143	0.123
lairPathway	15	BioCarta	-0.57203	-1.5313	0.04843	0.50959	0.968	0.333	0.0988	0.301	0.41813	0.104
p53_signalling	87	BioCarta	-0.3407	-1.5171	0.01266	0.51319	0.974	0.195	0.123	0.173	0.42541	0.101
