GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chr6q21	31	Cytogenetic band	0.66381	2.0663	0	0.010707	0.009	0.548	0.2	0.44	0	0.004
chr5q31	59	Cytogenetic band	0.50025	1.9102	0	0.046093	0.075	0.441	0.175	0.366	0	0.007
chr13q14	31	Cytogenetic band	0.57004	1.8701	0	0.056693	0.13	0.387	0.148	0.331	0	0.002
chr14q32	64	Cytogenetic band	0.47486	1.8131	0.006397	0.081823	0.222	0.453	0.247	0.343	0	0.005
chr17q23	39	Cytogenetic band	0.53292	1.8059	0.01688	0.071498	0.237	0.513	0.265	0.378	0	0.001
chr1q42	32	Cytogenetic band	0.48826	1.6063	0.05691	0.35546	0.641	0.344	0.135	0.298	0.28214	0.064
chr6	456	Chromosome 6	0.31819	1.587	0.01667	0.35422	0.678	0.322	0.226	0.261	0.27788	0.054
chr10q24	43	Cytogenetic band	0.44966	1.5826	0.01012	0.3188	0.685	0.279	0.146	0.239	0.25307	0.043
chr3q13	28	Cytogenetic band	0.4621	1.5368	0.02362	0.39139	0.753	0.214	0.102	0.193	0.30617	0.075
chr10p15	17	Cytogenetic band	0.48576	1.4936	0.0521	0.47007	0.799	0.176	0.0595	0.166	0.39055	0.113
chr13	128	Chromosome 13	0.34254	1.4703	0.03945	0.49226	0.827	0.32	0.261	0.24	0.41751	0.115
chr6p21	153	Cytogenetic band	0.3525	1.4603	0.09193	0.4833	0.84	0.366	0.224	0.288	0.41333	0.109
chr6p22	70	Cytogenetic band	0.37018	1.441	0.1	0.50415	0.852	0.486	0.303	0.341	0.43357	0.112
chr4p16	34	Cytogenetic band	0.38178	1.427	0.07536	0.51199	0.859	0.353	0.219	0.277	0.44887	0.113
chr14	267	Chromosome 14	0.31115	1.4163	0.06861	0.50842	0.868	0.326	0.249	0.251	0.44928	0.107
chr1q25	27	Cytogenetic band	0.43193	1.4126	0.08333	0.48936	0.871	0.37	0.218	0.29	0.43056	0.098
chr6q23	20	Cytogenetic band	0.45764	1.4077	0.09651	0.47229	0.873	0.25	0.101	0.225	0.41478	0.084
chr10q25	23	Cytogenetic band	0.49524	1.4029	0.09639	0.45778	0.876	0.217	0.102	0.196	0.40523	0.075
chr8p11	18	Cytogenetic band	0.45481	1.4015	0.09	0.43741	0.877	0.222	0.106	0.199	0.3839	0.063
