GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chrY	40	Chromosome Y	-0.77758	-2.3729	0	0	0	0.475	0.0991	0.429	0	0
chrYp11	18	Cytogenetic band	-0.75901	-2.1365	0	0.00038158	0.001	0.5	0.0991	0.451	0	0
chrYq11	16	Cytogenetic band	-0.88634	-2.1332	0	0.00025439	0.001	0.625	0.054	0.592	0	0
chr9q21	35	Cytogenetic band	-0.43408	-1.5349	0.03509	0.62989	0.657	0.314	0.18	0.258	0.49153	0.236
chr6q24	17	Cytogenetic band	-0.53312	-1.438	0.08566	1	0.771	0.412	0.193	0.332	0.81643	0.425
chr13q13	22	Cytogenetic band	-0.45017	-1.403	0.09036	1	0.808	0.273	0.117	0.241	0.86063	0.439
chr11q22	29	Cytogenetic band	-0.43663	-1.3889	0.0935	1	0.814	0.276	0.152	0.234	0.81667	0.416
chr2q32	22	Cytogenetic band	-0.46356	-1.3279	0.1394	1	0.858	0.227	0.0788	0.21	1	0.525
chr1q24	33	Cytogenetic band	-0.38582	-1.3081	0.1113	1	0.867	0.485	0.251	0.364	1	0.514
chr5p13	28	Cytogenetic band	-0.39656	-1.3063	0.1495	1	0.867	0.286	0.163	0.24	0.94309	0.478
chr5p15	25	Cytogenetic band	-0.37218	-1.2618	0.1537	1	0.897	0.52	0.306	0.361	1	0.54
chr2q24	29	Cytogenetic band	-0.44334	-1.261	0.2379	1	0.897	0.345	0.149	0.294	1	0.514
chr21q22	106	Cytogenetic band	-0.3121	-1.2457	0.1495	1	0.907	0.368	0.263	0.273	1	0.508
chr17p11	31	Cytogenetic band	-0.37233	-1.2422	0.1717	1	0.908	0.419	0.253	0.314	0.9722	0.487
chr21	132	Chromosome 21	-0.29621	-1.2416	0.1637	1	0.908	0.364	0.263	0.27	0.9098	0.459
chr8p12	25	Cytogenetic band	-0.36683	-1.2275	0.1653	1	0.912	0.4	0.26	0.296	0.91703	0.457
chr3p25	37	Cytogenetic band	-0.36425	-1.2266	0.2012	1	0.912	0.135	0.0353	0.131	0.86792	0.427
chr9q34	103	Cytogenetic band	-0.29759	-1.2059	0.2113	1	0.919	0.32	0.203	0.257	0.898	0.458
chr4q13	39	Cytogenetic band	-0.39257	-1.2002	0.2447	1	0.92	0.308	0.19	0.25	0.90448	0.441
chr7p21	20	Cytogenetic band	-0.40702	-1.1857	0.2618	1	0.932	0.15	0.047	0.143	0.91438	0.455
chr5q33	30	Cytogenetic band	-0.35355	-1.1695	0.2626	1	0.938	0.167	0.0816	0.153	0.94897	0.468
chrXq28	70	Cytogenetic band	-0.28386	-1.1329	0.2658	1	0.945	0.371	0.236	0.285	1	0.54
chr2p25	29	Cytogenetic band	-0.36301	-1.1258	0.347	1	0.945	0.345	0.204	0.275	1	0.54
chr15q26	32	Cytogenetic band	-0.32872	-1.121	0.3168	1	0.948	0.281	0.184	0.23	1	0.525
chr16q24	38	Cytogenetic band	-0.30179	-1.1021	0.3149	1	0.956	0.395	0.241	0.3	1	0.555
chr11q12	66	Cytogenetic band	-0.28509	-1.1003	0.3095	1	0.958	0.258	0.165	0.216	1	0.536
chr7q21	44	Cytogenetic band	-0.33259	-1.0992	0.3552	1	0.958	0.386	0.312	0.267	1	0.52
chr18q12	27	Cytogenetic band	-0.34668	-1.0706	0.3892	1	0.963	0.519	0.304	0.362	1	0.565
chr2p21	18	Cytogenetic band	-0.36759	-1.0664	0.3796	1	0.963	0.222	0.097	0.201	1	0.564
chr15q24	38	Cytogenetic band	-0.30348	-1.0633	0.3795	1	0.964	0.263	0.177	0.217	1	0.545
chr19q13	344	Cytogenetic band	-0.23492	-1.0589	0.3484	1	0.965	0.174	0.141	0.153	1	0.541
chr1p21	18	Cytogenetic band	-0.40302	-1.0575	0.4255	1	0.966	0.389	0.147	0.332	1	0.528
chr4p15	22	Cytogenetic band	-0.33223	-1.0567	0.3826	1	0.966	0.318	0.152	0.27	1	0.508
chr8q24	71	Cytogenetic band	-0.25805	-1.0341	0.4073	1	0.969	0.296	0.231	0.229	1	0.559
chr10p13	20	Cytogenetic band	-0.34341	-1.0283	0.448	1	0.969	0.15	0.036	0.145	1	0.56
chr4q12	16	Cytogenetic band	-0.33799	-1.0162	0.4486	1	0.972	0.188	0.0921	0.17	1	0.57
chr9q22	49	Cytogenetic band	-0.27934	-1.0097	0.4428	1	0.975	0.224	0.173	0.186	1	0.567
chr6q27	22	Cytogenetic band	-0.29995	-0.99438	0.4507	1	0.977	0.409	0.273	0.298	1	0.594
chr7p15	34	Cytogenetic band	-0.2992	-0.99363	0.4477	1	0.978	0.353	0.216	0.277	1	0.58
chr8p21	52	Cytogenetic band	-0.25091	-0.97428	0.4921	1	0.978	0.365	0.304	0.255	1	0.621
chr3q25	26	Cytogenetic band	-0.30698	-0.97366	0.499	1	0.978	0.385	0.277	0.278	1	0.604
chr10p12	19	Cytogenetic band	-0.33457	-0.96444	0.502	1	0.979	0.211	0.0739	0.195	1	0.614
chr1p31	41	Cytogenetic band	-0.27454	-0.95943	0.5372	1	0.979	0.366	0.283	0.263	1	0.615
chr22q12	73	Cytogenetic band	-0.25571	-0.95365	0.524	1	0.979	0.315	0.254	0.236	1	0.618
chr11q13	146	Cytogenetic band	-0.23506	-0.94826	0.5295	1	0.98	0.281	0.228	0.219	1	0.608
chr16q12	29	Cytogenetic band	-0.30112	-0.94819	0.5343	1	0.98	0.517	0.367	0.328	1	0.599
chr1q25	41	Cytogenetic band	-0.27339	-0.93861	0.5496	1	0.981	0.39	0.31	0.27	1	0.615
chr2q13	19	Cytogenetic band	-0.33406	-0.9371	0.5328	1	0.982	0.263	0.21	0.208	1	0.603
chr17q12	43	Cytogenetic band	-0.26782	-0.9353	0.5482	1	0.982	0.372	0.298	0.262	1	0.584
chr5q32	22	Cytogenetic band	-0.31447	-0.93199	0.5556	1	0.982	0.409	0.28	0.295	1	0.584
chr3p21	108	Cytogenetic band	-0.23079	-0.9237	0.5562	1	0.983	0.25	0.254	0.188	1	0.589
chr17q21	144	Cytogenetic band	-0.23749	-0.92262	0.5703	1	0.983	0.222	0.169	0.187	1	0.57
chr10p15	25	Cytogenetic band	-0.29518	-0.91923	0.587	1	0.983	0.16	0.0989	0.144	1	0.569
chr12q14	23	Cytogenetic band	-0.30965	-0.91608	0.5825	1	0.983	0.174	0.0716	0.162	1	0.561
chr16p13	124	Cytogenetic band	-0.23581	-0.91404	0.5801	1	0.984	0.347	0.295	0.246	1	0.548
chr6p22	89	Cytogenetic band	-0.22522	-0.89954	0.6121	1	0.984	0.315	0.258	0.235	1	0.582
chr18q21	51	Cytogenetic band	-0.25663	-0.8983	0.6012	1	0.984	0.412	0.325	0.279	1	0.571
chr14q11	71	Cytogenetic band	-0.22286	-0.89265	0.6325	1	0.985	0.197	0.158	0.167	1	0.585
chr16q22	60	Cytogenetic band	-0.23175	-0.88958	0.6468	1	0.985	0.2	0.168	0.167	1	0.576
chr12p13	104	Cytogenetic band	-0.21353	-0.8775	0.6228	1	0.987	0.279	0.257	0.209	1	0.598
chr14q22	23	Cytogenetic band	-0.27978	-0.87409	0.6282	1	0.987	0.261	0.193	0.211	1	0.597
chrXq22	45	Cytogenetic band	-0.24595	-0.87212	0.6667	1	0.987	0.356	0.287	0.254	1	0.58
chr6p24	19	Cytogenetic band	-0.27444	-0.86982	0.6534	1	0.988	0.158	0.0773	0.146	1	0.571
chr12p12	30	Cytogenetic band	-0.26114	-0.8677	0.6364	1	0.988	0.233	0.166	0.195	1	0.563
chr16	445	Chromosome 16	-0.19906	-0.86277	0.6742	1	0.988	0.189	0.168	0.162	1	0.563
chr3p22	31	Cytogenetic band	-0.26863	-0.86205	0.6581	1	0.988	0.323	0.205	0.257	1	0.551
chr17p13	115	Cytogenetic band	-0.21281	-0.85934	0.7131	0.99574	0.988	0.296	0.245	0.225	1	0.543
chr1q32	80	Cytogenetic band	-0.22071	-0.85885	0.7028	0.98275	0.988	0.225	0.225	0.175	1	0.522
chr2q37	62	Cytogenetic band	-0.23111	-0.85689	0.6588	0.95985	0.988	0.274	0.189	0.223	0.99722	0.495
chr9	375	Chromosome 9	-0.18744	-0.85689	0.7169	0.97376	0.988	0.229	0.197	0.189	1	0.511
chr10q24	74	Cytogenetic band	-0.22892	-0.84825	0.686	0.96837	0.989	0.149	0.116	0.132	1	0.505
chr22q13	107	Cytogenetic band	-0.21318	-0.84445	0.7246	0.96592	0.99	0.224	0.198	0.181	1	0.502
chrXq25	16	Cytogenetic band	-0.29466	-0.84413	0.6805	0.95375	0.99	0.188	0.096	0.17	0.9911	0.488
chr18	136	Chromosome 18	-0.2116	-0.84165	0.666	0.94719	0.99	0.301	0.266	0.223	0.98362	0.487
chr5q13	28	Cytogenetic band	-0.26517	-0.83984	0.6972	0.9391	0.99	0.143	0.106	0.128	0.97956	0.469
chr20q11	65	Cytogenetic band	-0.22177	-0.83181	0.684	0.94533	0.99	0.308	0.283	0.222	0.98627	0.48
chr19p13	286	Cytogenetic band	-0.20905	-0.82424	0.6899	0.95265	0.99	0.234	0.222	0.186	0.99145	0.487
chr6q23	29	Cytogenetic band	-0.25412	-0.8218	0.7162	0.94613	0.99	0.207	0.128	0.181	0.99145	0.484
chr9p21	32	Cytogenetic band	-0.24642	-0.80829	0.7436	0.96735	0.99	0.5	0.307	0.347	1	0.513
chr3q13	44	Cytogenetic band	-0.236	-0.807	0.7173	0.95838	0.99	0.182	0.148	0.155	0.99847	0.497
chr3p24	18	Cytogenetic band	-0.2677	-0.80377	0.7263	0.9535	0.99	0.0556	0.00717	0.0552	0.99744	0.496
