Gene	electron_transport	MAP00561_Glycerolipi	SIG_BCR_Signaling_Pa	SIG_PIP3_signaling_i	ANTI_CD44_UP	MAP00120_Bile_acid_b	MAP00071_Fatty_acid_	MAP00361_gamma_Hexac	ST_Ga12_Pathway	fmlppathway	G13_Signaling_Pathwa	MAP00590_Prostagland	MAP00650_Butanoate_m	Fatty_Acid_Degradati	FA	MAP00280_Valine_leuc	MAP00640_Propanoate_	cell_cycle_regulator	tnf_and_fas_network	Il12Pathway
ALDH1B1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ADH6	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1B	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAAT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2D6	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP3A4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP2E1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C9	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP4B1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP2F1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP27A1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP7A1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KIAA0090	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP11A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2A13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCRH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP17A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGRMC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP21A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCRB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAOA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
384D8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HADH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DECR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACADSB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
GK2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABAT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
HMGCS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GAD2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BDH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ALDH5A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HMGCS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
IVD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BCKDHB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ALDH6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LDHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PLA2G4A	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLA2G2A	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLA2G1B	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PTGS2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PTGDS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PTGS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALOX12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPL	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
