GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
chrXp22	76	Cytogenetic band	0.38693	1.5365	0.01341	1	0.65	0.184	0.0519	0.176	1	0.574
chr6q15	18	Cytogenetic band	0.55321	1.5259	0.04593	1	0.663	0.333	0.12	0.294	0.768	0.428
chr8q11	15	Cytogenetic band	0.55873	1.4979	0.05939	0.90548	0.703	0.667	0.28	0.48	0.68085	0.369
chr8p11	21	Cytogenetic band	0.49331	1.4954	0.05523	0.69068	0.704	0.381	0.154	0.323	0.52174	0.284
chr12q23	29	Cytogenetic band	0.48783	1.4755	0.06225	0.64632	0.732	0.448	0.167	0.374	0.49022	0.256
chr13q14	47	Cytogenetic band	0.38076	1.3075	0.1439	1	0.868	0.34	0.202	0.273	1	0.617
chrXq23	18	Cytogenetic band	0.47981	1.2914	0.1745	1	0.879	0.222	0.0538	0.211	1	0.575
chr10q11	27	Cytogenetic band	0.36779	1.2641	0.1683	1	0.887	0.37	0.18	0.304	1	0.59
chr2q31	41	Cytogenetic band	0.35452	1.2595	0.1564	1	0.888	0.537	0.265	0.395	1	0.549
chr4q22	21	Cytogenetic band	0.44873	1.2446	0.1946	1	0.893	0.286	0.0887	0.261	1	0.539
chrXp11	95	Cytogenetic band	0.30735	1.2331	0.1488	1	0.899	0.211	0.133	0.184	1	0.527
chr3q29	18	Cytogenetic band	0.42757	1.2272	0.2187	1	0.902	0.556	0.277	0.402	1	0.512
chr8p23	18	Cytogenetic band	0.38483	1.1687	0.2505	1	0.923	0.333	0.176	0.275	1	0.615
chr20p12	25	Cytogenetic band	0.34231	1.1553	0.2565	1	0.928	0.32	0.181	0.263	1	0.612
chr16p12	28	Cytogenetic band	0.34798	1.1015	0.3172	1	0.947	0.536	0.29	0.381	1	0.72
chr1p34	84	Cytogenetic band	0.28178	1.0568	0.4	1	0.959	0.405	0.266	0.299	1	0.793
chr13q12	41	Cytogenetic band	0.30032	1.0431	0.4045	1	0.965	0.244	0.189	0.198	1	0.803
chr2q14	28	Cytogenetic band	0.32939	1.0417	0.411	1	0.965	0.214	0.157	0.181	1	0.784
chr5q14	23	Cytogenetic band	0.3362	1.0406	0.3959	1	0.965	0.478	0.25	0.359	1	0.762
chr11p11	35	Cytogenetic band	0.31466	1.0361	0.4094	1	0.965	0.229	0.122	0.201	1	0.75
chr6q14	23	Cytogenetic band	0.39859	1.0331	0.4106	1	0.966	0.391	0.164	0.328	1	0.73
chr15	318	Chromosome 15	0.23185	1.0168	0.4464	1	0.968	0.277	0.214	0.222	1	0.752
chr21q21	23	Cytogenetic band	0.3165	1.0109	0.466	1	0.968	0.304	0.163	0.255	1	0.738
chr11p15	126	Cytogenetic band	0.23443	1.0099	0.4188	1	0.97	0.246	0.203	0.198	1	0.732
chr3q22	29	Cytogenetic band	0.32453	1.0068	0.4424	1	0.97	0.276	0.128	0.241	1	0.707
chr7p14	26	Cytogenetic band	0.30251	0.98511	0.4598	1	0.972	0.192	0.0774	0.178	1	0.743
chr15q23	16	Cytogenetic band	0.33997	0.98215	0.5018	1	0.973	0.375	0.145	0.321	1	0.73
chrX	409	Chromosome X	0.21425	0.97747	0.5058	1	0.974	0.252	0.212	0.204	1	0.723
chr15q15	36	Cytogenetic band	0.29174	0.97303	0.501	1	0.974	0.361	0.228	0.279	1	0.708
chr6q22	28	Cytogenetic band	0.30873	0.96969	0.4842	1	0.976	0.357	0.205	0.284	1	0.699
chr6p25	21	Cytogenetic band	0.35865	0.96708	0.533	1	0.977	0.333	0.155	0.282	1	0.694
chr2q35	41	Cytogenetic band	0.27747	0.96436	0.5197	1	0.977	0.122	0.0416	0.117	1	0.689
chr6q21	32	Cytogenetic band	0.32141	0.95444	0.5366	1	0.979	0.438	0.235	0.335	1	0.695
chr2p16	16	Cytogenetic band	0.31916	0.95349	0.5183	1	0.979	0.438	0.265	0.322	1	0.671
chr1p13	63	Cytogenetic band	0.25503	0.9529	0.5364	1	0.979	0.254	0.173	0.211	1	0.659
chr1q21	86	Cytogenetic band	0.22876	0.9483	0.5374	1	0.979	0.36	0.27	0.265	1	0.648
chr10q23	48	Cytogenetic band	0.27776	0.93619	0.5777	1	0.981	0.146	0.0512	0.139	1	0.662
chr10q21	24	Cytogenetic band	0.30474	0.92639	0.5397	1	0.982	0.167	0.0974	0.151	1	0.67
chr14q23	37	Cytogenetic band	0.28262	0.91661	0.5863	1	0.982	0.216	0.16	0.182	1	0.68
chr1p36	153	Cytogenetic band	0.20587	0.91243	0.6437	1	0.982	0.261	0.199	0.212	1	0.679
